date,open,high,low,close,volume
2024-11-01,107.75,108.66000366210938,106.69999694824219,108.4000015258789,729500
2024-11-04,107.5199966430664,109.33999633789062,107.5199966430664,108.04000091552734,575400
2024-11-05,108.05000305175781,110.0,108.0199966430664,109.91000366210938,500400
2024-11-06,113.80000305175781,115.73999786376953,112.7300033569336,114.12000274658203,1100900
2024-11-07,114.11000061035156,114.29000091552734,109.0199966430664,110.72000122070312,1241900
2024-11-08,110.38999938964844,111.83000183105469,109.44999694824219,110.38999938964844,1232100
2024-11-11,110.4000015258789,112.1500015258789,110.36000061035156,111.58000183105469,866400
2024-11-12,111.8499984741211,112.37000274658203,111.18000030517578,112.16000366210938,644600
2024-11-13,112.04000091552734,114.87000274658203,111.61000061035156,112.51000213623047,1050400
2024-11-14,111.91999816894531,112.0199966430664,106.68000030517578,107.19999694824219,1817300
2024-11-15,107.19999694824219,107.19999694824219,105.76000213623047,106.93000030517578,1009100
2024-11-18,107.0,109.66999816894531,107.0,109.12999725341797,1680100
2024-11-19,106.7699966430664,109.55999755859375,106.7699966430664,108.83000183105469,1233500
2024-11-20,109.83999633789062,110.18000030517578,107.38999938964844,109.47000122070312,717600
2024-11-21,109.77999877929688,113.16000366210938,109.70999908447266,112.55999755859375,1159600
2024-11-22,113.77999877929688,116.76000213623047,113.19999694824219,116.30999755859375,1580400
2024-11-25,117.47000122070312,118.12000274658203,116.25,116.88999938964844,1395100
2024-11-26,116.94999694824219,117.62999725341797,115.81999969482422,116.73999786376953,716200
2024-11-27,117.45999908447266,118.55999755859375,115.47000122070312,116.73999786376953,1268500
2024-11-29,117.0,117.66999816894531,116.30999755859375,116.97000122070312,422300
2024-12-02,116.83000183105469,116.83000183105469,115.20999908447266,115.94000244140625,884200
2024-12-03,115.0,115.44000244140625,113.80000305175781,114.66000366210938,1017900
2024-12-04,114.51000213623047,114.98999786376953,113.97000122070312,114.93000030517578,659900
2024-12-05,115.1500015258789,115.1500015258789,113.75,114.22000122070312,650700
2024-12-06,114.7300033569336,114.7300033569336,113.38999938964844,113.75,397600
2024-12-09,113.75,114.4800033569336,112.25,112.51000213623047,607200
2024-12-10,112.5199966430664,113.30000305175781,110.87000274658203,112.47000122070312,664600
2024-12-11,113.75,113.81999969482422,112.43000030517578,112.7699966430664,731300
2024-12-12,112.7300033569336,112.86000061035156,111.41999816894531,112.02999877929688,630600
2024-12-13,111.3499984741211,112.2699966430664,111.26000213623047,111.51000213623047,782900
2024-12-16,111.13999938964844,112.26000213623047,110.38999938964844,110.69000244140625,963600
2024-12-17,110.19000244140625,111.04000091552734,109.06999969482422,110.4000015258789,851100
2024-12-18,111.0,111.0999984741211,106.80000305175781,106.93000030517578,809400
2024-12-19,108.25,109.02999877929688,106.76000213623047,107.04000091552734,702700
2024-12-20,106.47000122070312,108.8499984741211,106.47000122070312,107.98999786376953,2456700
2024-12-23,107.18000030517578,108.01000213623047,106.48999786376953,107.91999816894531,476500
2024-12-24,107.88999938964844,108.47000122070312,107.20999908447266,108.41000366210938,136400
2024-12-26,107.66999816894531,108.9000015258789,107.66999816894531,108.58999633789062,303300
2024-12-27,107.87999725341797,108.88999938964844,107.0,107.68000030517578,240800
2024-12-30,106.54000091552734,107.73999786376953,105.83999633789062,107.05000305175781,444200
2024-12-31,107.43000030517578,107.75,106.51000213623047,106.81999969482422,384900
2025-01-02,107.0,107.83999633789062,105.62000274658203,106.30000305175781,687800
2025-01-03,106.12000274658203,108.0199966430664,105.83000183105469,107.75,419600
2025-01-06,107.62000274658203,108.62000274658203,106.91000366210938,107.23999786376953,590700
2025-01-07,107.25,107.87000274658203,105.9000015258789,107.13999938964844,585600
2025-01-08,106.2699966430664,107.33000183105469,105.5999984741211,107.31999969482422,967800
2025-01-10,107.54000091552734,108.08999633789062,105.04000091552734,105.87000274658203,1198100
2025-01-13,105.62999725341797,108.69999694824219,105.5199966430664,108.47000122070312,1233800
2025-01-14,109.0,110.4800033569336,108.61000061035156,109.88999938964844,988000
2025-01-15,110.22000122070312,111.25,108.94000244140625,109.25,924600
2025-01-16,109.26000213623047,109.47000122070312,106.22000122070312,107.8499984741211,1122200
2025-01-17,108.30000305175781,109.12999725341797,107.52999877929688,108.93000030517578,3398400
2025-01-21,110.29000091552734,111.87999725341797,109.47000122070312,111.05000305175781,831000
2025-01-22,111.37999725341797,111.6500015258789,110.1500015258789,110.5999984741211,645100
2025-01-23,110.36000061035156,110.55999755859375,108.12000274658203,108.33000183105469,773300
2025-01-24,108.0999984741211,109.52999877929688,107.83999633789062,109.1500015258789,751600
2025-01-27,107.7300033569336,109.01000213623047,105.30999755859375,106.69000244140625,844500
2025-01-28,107.36000061035156,107.45999908447266,104.7699966430664,105.41999816894531,883700
2025-01-29,105.95999908447266,107.7300033569336,104.54000091552734,104.5999984741211,795200
2025-01-30,105.22000122070312,106.31999969482422,104.58999633789062,105.55000305175781,854200
2025-01-31,106.11000061035156,107.31999969482422,104.68000030517578,105.44000244140625,1368100
2025-02-03,103.01000213623047,105.41999816894531,102.43000030517578,103.8499984741211,1053200
2025-02-04,107.2699966430664,108.87000274658203,102.44000244140625,104.18000030517578,1324200
2025-02-05,103.9000015258789,106.45999908447266,103.5,104.93000030517578,1204000
2025-02-06,105.66000366210938,108.41000366210938,105.16999816894531,108.2699966430664,1059700
2025-02-07,108.8499984741211,109.7300033569336,106.79000091552734,107.16000366210938,796100
2025-02-10,107.8499984741211,108.52999877929688,106.55999755859375,107.98999786376953,659900
2025-02-11,107.4000015258789,107.75,105.93000030517578,106.5199966430664,683000
2025-02-12,104.58000183105469,105.9000015258789,103.5,103.79000091552734,940500
2025-02-13,104.12999725341797,104.4000015258789,101.5199966430664,102.19000244140625,872400
2025-02-14,102.33000183105469,102.62999725341797,99.69000244140625,100.41000366210938,1247100
2025-02-18,100.54000091552734,103.18000030517578,100.54000091552734,101.5999984741211,1372900
2025-02-19,101.08000183105469,101.7699966430664,99.77999877929688,101.0,726800
2025-02-20,101.19000244140625,102.31999969482422,98.93000030517578,99.69999694824219,595700
2025-02-21,100.2300033569336,100.2300033569336,97.11000061035156,97.5199966430664,1037600
2025-02-24,97.79000091552734,97.9800033569336,95.55999755859375,95.69000244140625,2504600
2025-02-25,96.19999694824219,98.36000061035156,94.62000274658203,97.5199966430664,1280300
2025-02-26,98.12000274658203,99.27999877929688,97.95999908447266,98.38999938964844,943900
2025-02-27,98.05000305175781,100.16000366210938,97.05999755859375,97.26000213623047,927700
2025-02-28,97.6500015258789,100.2699966430664,97.2699966430664,100.05000305175781,1908000
2025-03-03,100.9000015258789,100.9000015258789,96.43000030517578,97.16999816894531,1022900
2025-03-04,95.5999984741211,96.13999938964844,93.80000305175781,94.08000183105469,1250300
2025-03-05,94.08999633789062,96.38999938964844,93.51000213623047,96.0,931200
2025-03-06,94.52999877929688,97.05999755859375,93.77999877929688,96.7300033569336,1062000
2025-03-07,96.11000061035156,97.93000030517578,94.88999938964844,97.05000305175781,965700
2025-03-10,95.9000015258789,97.9000015258789,95.62999725341797,96.01000213623047,1022300
2025-03-11,96.01000213623047,97.98999786376953,94.30999755859375,94.37999725341797,1279700
2025-03-12,95.55000305175781,95.98999786376953,94.4000015258789,94.61000061035156,732300
2025-03-13,94.7300033569336,95.0,92.62000274658203,93.12000274658203,561200
2025-03-14,94.4000015258789,95.2699966430664,93.51000213623047,95.08000183105469,1226800
2025-03-17,94.73999786376953,96.62999725341797,94.20999908447266,95.58999633789062,1132800
2025-03-18,95.1500015258789,96.08000183105469,94.72000122070312,95.37000274658203,769000
2025-03-19,95.61000061035156,96.55000305175781,95.0,96.1500015258789,872400
2025-03-20,95.58000183105469,95.88999938964844,94.79000091552734,94.98999786376953,678200
2025-03-21,94.0,94.51000213623047,93.02999877929688,94.0999984741211,2551100
2025-03-24,94.11000061035156,95.98999786376953,94.11000061035156,95.81999969482422,1268400
2025-03-25,96.06999969482422,96.73999786376953,93.97000122070312,94.76000213623047,1163100
2025-03-26,95.01000213623047,95.66999816894531,94.19999694824219,94.5999984741211,613600
2025-03-27,94.61000061035156,95.55999755859375,93.91999816894531,94.56999969482422,718000
2025-03-28,94.30000305175781,94.55999755859375,92.06999969482422,92.54000091552734,705300
2025-03-31,91.5999984741211,93.30999755859375,90.30999755859375,92.7300033569336,983700
2025-04-01,92.58999633789062,94.26000213623047,91.6500015258789,94.12000274658203,858700
2025-04-02,92.62000274658203,95.95999908447266,92.62000274658203,95.83999633789062,991900
2025-04-03,92.3499984741211,94.25,92.0,92.7300033569336,2013600
2025-04-04,89.7699966430664,90.8499984741211,87.30000305175781,89.25,1656600
2025-04-07,86.79000091552734,91.69999694824219,85.0,87.33999633789062,1715400
2025-04-08,89.94999694824219,90.80000305175781,86.08000183105469,87.19000244140625,1373100
2025-04-09,86.05000305175781,95.33000183105469,85.58000183105469,94.98999786376953,2047100
2025-04-10,92.80999755859375,94.87000274658203,91.0,93.16999816894531,1237300
2025-04-11,93.16999816894531,93.91000366210938,90.45999908447266,93.70999908447266,1169700
2025-04-14,94.73999786376953,94.73999786376953,92.48999786376953,94.30999755859375,806000
2025-04-15,94.05999755859375,94.5,93.19000244140625,93.95999908447266,615700
2025-04-16,93.79000091552734,94.5999984741211,92.25,93.2300033569336,942800
2025-04-17,93.27999877929688,94.81999969482422,92.76000213623047,94.36000061035156,3244000
2025-04-21,93.73999786376953,93.75,91.12999725341797,92.25,856200
2025-04-22,93.1500015258789,94.63999938964844,92.48999786376953,94.0,911300
2025-04-23,95.33999633789062,97.45999908447266,94.80000305175781,95.19999694824219,724000
2025-04-24,95.0199966430664,97.91000366210938,95.0199966430664,97.6500015258789,575200
2025-04-25,97.51000213623047,97.87999725341797,96.54000091552734,97.33999633789062,548700
2025-04-28,97.45999908447266,98.36000061035156,96.43000030517578,97.44000244140625,610300
2025-04-29,97.3499984741211,98.68000030517578,96.58999633789062,98.16999816894531,594600
2025-04-30,97.25,99.12000274658203,95.88999938964844,98.6500015258789,904500
2025-05-01,99.61000061035156,101.22000122070312,98.76000213623047,100.25,915800
2025-05-02,101.9000015258789,103.01000213623047,101.0,102.3499984741211,1324800
2025-05-05,101.7300033569336,102.80999755859375,101.31999969482422,102.18000030517578,706700
2025-05-06,104.04000091552734,105.75,102.33999633789062,102.93000030517578,1148100
2025-05-07,103.54000091552734,103.54000091552734,101.12999725341797,101.5,1255700
2025-05-08,102.77999877929688,104.62999725341797,102.0,104.37000274658203,855100
2025-05-09,104.5,104.83000183105469,104.01000213623047,104.6500015258789,559800
2025-05-12,107.31999969482422,107.31999969482422,105.41000366210938,106.33000183105469,743900
2025-05-13,106.5999984741211,107.66999816894531,106.11000061035156,106.68000030517578,749500
2025-05-14,106.61000061035156,107.36000061035156,106.05999755859375,107.06999969482422,854700
2025-05-15,107.0,108.5999984741211,106.95999908447266,108.27999877929688,911400
2025-05-16,108.27999877929688,109.52999877929688,107.9800033569336,109.37000274658203,713300
2025-05-19,108.97000122070312,109.41999816894531,108.45999908447266,108.93000030517578,661800
2025-05-20,108.87999725341797,109.41999816894531,108.5,108.95999908447266,808000
2025-05-21,108.18000030517578,108.77999877929688,107.01000213623047,107.44000244140625,648000
2025-05-22,107.0199966430664,107.83000183105469,106.08000183105469,107.37000274658203,630500
2025-05-23,106.47000122070312,107.95999908447266,106.20999908447266,107.5999984741211,537000
2025-05-27,108.13999938964844,109.44999694824219,107.30000305175781,109.37000274658203,689100
2025-05-28,109.66999816894531,109.94999694824219,107.80000305175781,108.1500015258789,742800
2025-05-29,108.16000366210938,108.80999755859375,107.36000061035156,108.79000091552734,879700
