ticker_yf,ticker_tv,price,last,mcap_usd_final,mcap,avg_dollar_vol,tv_score,tv_reco,analyst_bucket,analyst_votes,sector,industry,p_tech,p_tv,p_an,pillars_met,votes_bin,rank_score,bucket
EXR,EXR,148.30999755859375,148.30999755859375,,,151403824.43546447,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
CZR,CZR,25.899999618530277,25.899999618530277,,,146339710.61702022,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
PATH,PATH,11.6899995803833,11.6899995803833,,,144382436.10375342,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
OC,OC,157.69000244140625,157.69000244140625,,,143304796.3268097,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
CSL,CSL,392.05999755859375,392.05999755859375,,,141498451.82633972,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
USFD,USFD,79.87000274658203,79.87000274658203,,,141214677.03771287,0.55,HOLD,HOLD,20.0,Consumer Staples,Unknown,False,False,False,0,10-20,0.265,event
OWL,OWL,18.75,18.75,,,140390487.16237068,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
WST,WST,263.739990234375,263.739990234375,,,138615545.64614868,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
MOS,MOS,33.68000030517578,33.68000030517578,,,136973193.6621647,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
LKQ,LKQ,32.91999816894531,32.91999816894531,,,135140668.26938438,0.55,HOLD,HOLD,20.0,Consumer Discretionary,Unknown,False,False,False,0,10-20,0.265,event
PAYC,PAYC,226.3699951171875,226.3699951171875,,,134812069.84786376,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
BRKR,BRKR,32.06999969482422,32.06999969482422,,,134390512.73714676,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
CAR,CAR,157.02999877929688,157.02999877929688,,,132746704.88866119,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
CTRA,CTRA,24.3700008392334,24.3700008392334,,,132544297.7540761,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
AKAM,AKAM,79.19999694824219,79.19999694824219,,,131687405.99289092,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
ATI,ATI,75.9800033569336,75.9800033569336,,,130248920.60460892,0.55,HOLD,HOLD,20.0,Industrials,Unknown,False,False,False,0,10-20,0.265,event
UHS,UHS,190.7899932861328,190.7899932861328,,,129896667.69917831,0.55,HOLD,HOLD,20.0,Health Care,Unknown,False,False,False,0,10-20,0.265,event
S,S,18.459999084472656,18.459999084472656,,,128086813.87955971,0.55,HOLD,HOLD,20.0,Information Technology,Unknown,False,False,False,0,10-20,0.265,event
EQR,EQR,66.88999938964844,66.88999938964844,,,126678916.33716889,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
MKTX,MKTX,188.4600067138672,188.4600067138672,,,124586776.22492981,0.55,HOLD,HOLD,20.0,Financials,Unknown,False,False,False,0,10-20,0.265,event
IRM,IRM,98.83000183105467,98.83000183105467,,,122082458.94748458,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
IFF,IFF,66.3499984741211,66.3499984741211,,,120516797.3983303,0.55,HOLD,HOLD,20.0,Materials,Unknown,False,False,False,0,10-20,0.265,event
BXP,BXP,76.2300033569336,76.2300033569336,,,118136586.43465042,0.55,HOLD,HOLD,20.0,Real Estate,Unknown,False,False,False,0,10-20,0.265,event
TPL,TPL,938.989990234375,938.989990234375,,,118059190.81140137,0.55,HOLD,HOLD,20.0,Energy,Unknown,False,False,False,0,10-20,0.265,event
