ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
CRCT,CRCT,5.860000133514404,1245050788.3672714,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,674961.9,3.8
BBSI,BBSI,49.16999816894531,1268359770.767212,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,189210.0,3.8
INVA,INVA,20.920000076293945,1318399324.8081207,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,639010.0,3.8
ATRO,ATRO,39.060001373291016,1389129888.8397217,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,694950.0,3.8
NSSC,NSSC,39.25,1399513700.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,639690.0,3.8
PAHC,PAHC,39.06999969482422,1583647739.630127,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,480709.8,3.8
TASK,TASK,17.989999771118164,1597096338.720581,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,457395.5,3.8
ADEA,ADEA,15.40999984741211,1685376273.311615,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,523606.3,3.8
COGT,COGT,12.9399995803833,1807730777.8591309,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1282098.1,3.8
SUPX,SUPX,68.0,1858222400.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,332469.9,3.8
CSGS,CSGS,64.62000274658203,1859014087.0147705,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,181180.0,3.8
PRCH,PRCH,17.950000762939453,1871628629.5509338,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2232961.1,3.8
SEDG,SEDG,34.15999984741211,2028243158.9401245,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3713660.5,3.8
IRON,IRON,60.189998626708984,2092541416.2567139,Unknown,Unknown,Strong Buy,5,STRONG_BUY,,,,,STRONG_BUY,,,,244986.0,3.8
PINC,PINC,26.280000686645508,2169403544.682312,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1382694.6,3.8
MLYS,MLYS,33.119998931884766,2195696953.189087,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3419069.2,3.8
TIGR,TIGR,12.720000267028809,2260369487.4515533,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,9022255.9,3.8
IDYA,IDYA,25.829999923706055,2263836660.9933167,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,991351.7,3.8
FBNC,FBNC,55.54999923706055,2303236288.366699,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,220450.0,3.8
FRME,FRME,41.880001068115234,2417828785.664749,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,212240.0,3.8
WAFD,WAFD,31.950000762939453,2517407527.3135986,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,336570.0,3.8
PSNYW,PSNYW,0.37619999051094055,2631278093.399704,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,20169437.5,3.8
KNSA,KNSA,35.5099983215332,2631564160.572693,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,408957.2,3.8
SBCF,SBCF,31.649999618530273,2780601348.08609,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,585640.0,3.8
EXTR,EXTR,22.450000762939453,2968114600.868225,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1513790.0,3.8
CSQ,CSQ,18.719999313354492,3002126289.88266,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,162770.0,3.8
NMIH,NMIH,40.099998474121094,3110721131.2313232,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,311845.1,3.8
DRVN,DRVN,19.209999084472656,3155818649.597168,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1150456.3,3.8
JOYY,JOYY,62.040000915527344,3186554363.0241394,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,637636.3,3.8
LIVN,LIVN,58.150001525878906,3193679493.803406,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,608252.1,3.8
CATY,CATY,50.380001068115234,3480925565.799713,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,301530.0,3.8
RUN,RUN,16.43000030517578,3790943128.974121,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,10042259.4,3.8
MLTX,MLTX,59.720001220703125,3792303685.5163574,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,569064.2,3.8
ARWR,ARWR,28.0,3871224000.0,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3110720.0,3.8
MLCO,MLCO,10.09000015258789,3939206770.291382,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,3149600.0,3.8
OSIS,OSIS,235.7100067138672,3966033001.966858,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,240310.0,3.8
OPEN,OPEN,5.960000038146973,4386285772.7144165,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,412310539.7,3.8
IBOC,IBOC,72.41999816894531,4501366374.188232,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,216880.0,3.8
FTDR,FTDR,63.290000915527344,4610638592.695618,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,618420.1,3.8
PTCT,PTCT,58.0099983215332,4651172053.422546,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1113977.7,3.8
MSM,MSM,92.66000366210938,5158919831.890869,Industrials,Trading Companies & Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,436550.0,3.8
SMTC,SMTC,59.900001525878906,5197762732.406616,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2691940.0,3.8
IRTC,IRTC,182.1699981689453,5852721267.172241,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,396378.7,3.8
VLY,VLY,10.649999618530273,5961028692.083374,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,7503850.0,3.8
OZK,OZK,52.93000030517578,5962088164.375305,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,764880.0,3.8
FNB,FNB,16.790000915527344,6030028088.806152,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,9205800.0,3.8
AXSM,AXSM,124.41000366210938,6208245797.744751,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,576375.8,3.8
THG,THG,181.33999633789062,6486604205.004883,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,182680.0,3.8
MTG,MTG,28.440000534057617,6556074470.632568,Financials,Reinsurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1400810.0,3.8
AMG,AMG,233.0500030517578,6621439991.706848,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,178910.0,3.8
FCFS,FCFS,150.8300018310547,6691512699.234009,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,312730.0,3.8
JHG,JHG,45.099998474121094,7034653022.794922,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1013834.0,3.8
TSEM,TSEM,62.970001220703125,7042942756.530762,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,1994750.0,3.8
AL,AL,63.63999938964844,7112724531.784058,Industrials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,2756600.0,3.8
BOKF,BOKF,113.0,7188054300.0,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,186290.0,3.8
IDCC,IDCC,287.8800048828125,7427995037.988281,Unknown,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,305620.0,3.8
OMF,OMF,62.61000061035156,7442450772.55249,Financials,Unknown,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,,855386.7,3.8
