candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
anticipative,AFRM,AFRM,83.88999938964844,27318776958.999023,Information Technology,Software - Infrastructure,Strong Buy,4,BUY,Buy,1.78261,19.0,3.95
anticipative,FCX,FCX,46.16510009765625,66282465028.57031,Materials,Copper,Strong Buy,4,,Buy,2.1,19.0,3.95
anticipative,NEM,NEM,76.07499694824219,83564584049.39648,Materials,Gold,Strong Buy,6,,Buy,2.0,19.0,3.95
anticipative,WELL,WELL,168.1699981689453,112476464504.62305,Real Estate,Health Care REITs,Strong Buy,4,,Buy,1.63158,19.0,3.95
event,FIVE,FIVE,150.24009704589844,8285065271.644592,Consumer Discretionary,Other Specialty Retail,Strong Buy,4,,Buy,2.18182,19.0,3.95
event,LITE,LITE,133.47999572753906,9330251701.35498,Information Technology,Communication Equipment,Strong Buy,4,,Buy,1.63158,19.0,3.95
event,AFRM,AFRM,83.88999938964844,27318776958.999023,Information Technology,Software - Infrastructure,Strong Buy,4,BUY,Buy,1.78261,19.0,3.95
event,FCX,FCX,46.16510009765625,66282465028.57031,Materials,Copper,Strong Buy,4,,Buy,2.1,19.0,3.95
event,NEM,NEM,76.07499694824219,83564584049.39648,Materials,Gold,Strong Buy,6,,Buy,2.0,19.0,3.95
event,WELL,WELL,168.1699981689453,112476464504.62305,Real Estate,Health Care REITs,Strong Buy,4,,Buy,1.63158,19.0,3.95
anticipative,PENN,PENN,19.780000686645508,2880838420.0057983,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,2.15,18.0,3.9
anticipative,MGM,MGM,38.380001068115234,10446691177.771362,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,1.90909,18.0,3.9
anticipative,PSTG,PSTG,77.97000122070312,25483091438.964844,Information Technology,Computer Hardware,Strong Buy,4,,Buy,1.9,18.0,3.9
anticipative,HIG,HIG,132.77000427246094,37331207641.29639,Financials,Property & Casualty Insurance,Strong Buy,4,,Buy,2.2,18.0,3.9
anticipative,VLO,VLO,155.27000427246094,48234937367.248535,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,Buy,1.95,18.0,3.9
event,PENN,PENN,19.780000686645508,2880838420.0057983,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,2.15,18.0,3.9
event,MGM,MGM,38.380001068115234,10446691177.771362,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,1.90909,18.0,3.9
event,PSTG,PSTG,77.97000122070312,25483091438.964844,Information Technology,Computer Hardware,Strong Buy,4,,Buy,1.9,18.0,3.9
event,HIG,HIG,132.77000427246094,37331207641.29639,Financials,Property & Casualty Insurance,Strong Buy,4,,Buy,2.2,18.0,3.9
event,VLO,VLO,155.27000427246094,48234937367.248535,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,Buy,1.95,18.0,3.9
anticipative,GAP,GAP,22.670000076293945,8411635699.66864,Consumer Discretionary,Apparel Retail,Strong Buy,4,,Buy,2.38889,17.0,3.85
anticipative,PEN,PEN,269.9100036621094,10526247223.81897,Health Care,Health Care Equipment,Buy,2,,Strong Buy,1.52632,17.0,3.85
anticipative,HST,HST,17.2450008392334,12009936210.38733,Real Estate,Hotel & Resort REITs,Strong Buy,4,,Buy,1.88889,17.0,3.85
anticipative,ALLY,ALLY,40.70500183105469,12532378404.390625,Financials,Credit Services,Strong Buy,4,,Buy,2.1,17.0,3.85
anticipative,TKO,TKO,185.89999389648438,15315965877.142334,Communication Services,Movies & Entertainment,Buy,2,,Strong Buy,1.47368,17.0,3.85
anticipative,HPE,HPE,22.96500015258789,30135133235.108887,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,4,,Buy,2.05,17.0,3.85
event,GAP,GAP,22.670000076293945,8411635699.66864,Consumer Discretionary,Apparel Retail,Strong Buy,4,,Buy,2.38889,17.0,3.85
event,PEN,PEN,269.9100036621094,10526247223.81897,Health Care,Health Care Equipment,Buy,2,,Strong Buy,1.52632,17.0,3.85
event,HST,HST,17.2450008392334,12009936210.38733,Real Estate,Hotel & Resort REITs,Strong Buy,4,,Buy,1.88889,17.0,3.85
event,ALLY,ALLY,40.70500183105469,12532378404.390625,Financials,Credit Services,Strong Buy,4,,Buy,2.1,17.0,3.85
event,TKO,TKO,185.89999389648438,15315965877.142334,Communication Services,Movies & Entertainment,Buy,2,,Strong Buy,1.47368,17.0,3.85
