date,ticker,score,bucket,themes,price,mcap_usd
2026-04-23,SWKS,54.7,50-60,semiconducteurs,61.02,
2026-04-23,ASML,54.4,50-60,semiconducteurs,1414.71,
2026-04-23,BKSY,54.3,50-60,espace|robotique,38.44,
2026-04-23,MASS,54.2,50-60,robotique,6.76,
2026-04-23,CARR,54.2,50-60,gestion_thermique,61.32,
2026-04-23,TSAT,54.2,50-60,espace,48.37,
2026-04-23,GEV,53.7,50-60,equipement_electrique|production_energie,1148.94,
2026-04-23,LUNR,53.6,50-60,espace,27.56,
2026-04-23,PENG,52.9,50-60,semiconducteurs,27.61,
2026-04-23,SATL,52.3,50-60,espace,6.81,
2026-04-23,META,51.8,50-60,ia,658.54,
2026-04-23,AEVA,51.6,50-60,ia|laser_photonique,15.49,
2026-04-23,GFS,51.3,50-60,semiconducteurs,61.45,
2026-04-23,UEC,50.9,50-60,production_energie,14.95,
2026-04-23,CRWV,50.6,50-60,ia,117.42,
2026-04-23,ACLS,50.3,50-60,semiconducteurs,139.86,
2026-04-23,ADI,50.2,50-60,semiconducteurs,402.78,
2026-04-23,KRKNF,50.1,50-60,defense,6.0,
2026-04-23,POWW,50.1,50-60,defense,1.97,
2026-04-23,BLDP,50.0,50-60,production_energie,3.38,
2026-04-30,VRT,87.0,70+,equipement_electrique|gestion_thermique|ia,328.42,
2026-04-30,MKSI,86.1,70+,laser_photonique,283.54,
2026-04-30,MTSI,84.3,70+,laser_photonique|semiconducteurs,281.61,
2026-04-30,NVT,83.6,70+,equipement_electrique|gestion_thermique,142.9,
2026-04-30,AEIS,82.8,70+,equipement_electrique,383.79,
2026-04-30,AMAT,81.5,70+,semiconducteurs,394.0,
2026-04-30,CGNX,81.1,70+,robotique,55.44,
2026-04-30,LSCC,80.6,70+,ia|semiconducteurs,122.28,
2026-04-30,ADI,80.6,70+,semiconducteurs,401.16,
2026-04-30,KLIC,80.1,70+,semiconducteurs,85.35,
2026-04-30,AVGO,80.0,70+,ia|semiconducteurs,416.77,
2026-04-30,ESE,79.6,70+,equipement_electrique,323.87,
2026-04-30,STRL,79.2,70+,gestion_thermique,515.62,
2026-04-30,MOD,78.9,70+,gestion_thermique,254.63,
2026-04-30,ALNT,78.8,70+,gestion_thermique,76.13,
2026-04-30,PLAB,78.8,70+,semiconducteurs,49.48,
2026-04-30,ETN,78.7,70+,equipement_electrique,431.82,
2026-04-30,CAMT,78.2,70+,semiconducteurs,191.92,
2026-04-30,ENS,78.1,70+,equipement_electrique,213.01,
2026-04-30,TSM,78.1,70+,semiconducteurs,395.13,
2026-04-30,DCO,77.8,70+,defense,141.93,
2026-04-30,TT,77.5,70+,gestion_thermique,491.42,
2026-04-30,NVEC,77.3,70+,semiconducteurs,81.87,
2026-04-30,UCTT,77.1,70+,semiconducteurs,78.15,
2026-04-30,CTS,76.8,70+,gestion_thermique,57.07,
2026-04-30,AZZ,76.2,70+,equipement_electrique,143.04,
2026-04-30,GSAT,75.5,70+,espace,82.3,
2026-04-30,ISOU,75.4,70+,production_energie,11.98,
2026-04-30,NVMI,75.4,70+,semiconducteurs,500.43,
2026-04-30,CW,75.3,70+,defense,719.95,
2026-04-30,CRUS,74.8,70+,semiconducteurs,163.08,
2026-04-30,LRCX,74.7,70+,semiconducteurs,257.68,
2026-04-30,FN,74.0,70+,laser_photonique,683.47,
2026-04-30,LITE,73.9,70+,laser_photonique,902.32,
2026-04-30,HIMX,73.6,70+,semiconducteurs,11.55,
2026-04-30,NXE,73.2,70+,production_energie,12.57,
2026-04-30,FIX,73.0,70+,gestion_thermique,1839.53,
2026-04-30,CCJ,72.7,70+,production_energie,123.04,
2026-04-30,TSEM,72.7,70+,semiconducteurs,221.05,
2026-04-30,NVDA,72.1,70+,ia|robotique|semiconducteurs,199.34,
2026-04-30,MU,72.0,70+,semiconducteurs,517.16,
2026-04-30,ONTO,71.2,70+,semiconducteurs,295.06,
2026-04-30,ATKR,71.1,70+,equipement_electrique,77.8,
2026-04-30,ROK,70.9,70+,robotique,407.65,
2026-04-30,SKYT,70.6,70+,semiconducteurs,31.9,
2026-04-30,ICHR,70.5,70+,semiconducteurs,65.97,
2026-04-30,AMPX,70.4,70+,new_tech,21.06,
2026-04-30,KLAC,70.4,70+,semiconducteurs,174.81,
2026-04-30,GHM,69.9,60-70,gestion_thermique,95.2,
2026-04-30,SMTC,69.9,60-70,semiconducteurs,105.05,
2026-04-30,QTUM,69.6,60-70,quantique,133.81,
2026-04-30,LASR,69.1,60-70,laser_photonique|semiconducteurs,69.85,
2026-04-30,COHR,68.8,60-70,laser_photonique,319.71,
2026-04-30,MPWR,67.0,60-70,semiconducteurs,1611.95,
2026-04-30,URG,66.9,60-70,production_energie,1.79,
2026-04-30,POWW,65.4,60-70,defense,2.03,
2026-04-30,VSAT,65.1,60-70,espace,65.91,
2026-04-30,GEV,64.9,60-70,equipement_electrique|production_energie,1082.91,
2026-04-30,ECHO,64.3,60-70,espace,123.14,
2026-04-30,ACLS,63.7,60-70,semiconducteurs,139.11,
2026-04-30,VRSN,63.7,60-70,ia,267.95,
2026-04-30,PLPC,63.1,60-70,equipement_electrique,332.08,
2026-04-30,TLN,63.0,60-70,production_energie,372.42,
2026-04-30,LII,62.5,60-70,gestion_thermique,533.61,
2026-04-30,LMB,62.2,60-70,gestion_thermique,99.77,
2026-04-30,OMCL,61.7,60-70,robotique,41.42,
2026-04-30,GNRC,61.4,60-70,equipement_electrique,259.23,
2026-04-30,VVX,60.7,60-70,defense|laser_photonique,67.81,
2026-04-30,SITM,60.7,60-70,semiconducteurs,562.15,
2026-04-30,CARR,60.2,60-70,gestion_thermique,66.93,
2026-04-30,ASML,60.1,60-70,semiconducteurs,1438.99,
2026-04-30,PL,59.9,50-60,espace,36.97,
2026-04-30,GFS,59.5,50-60,semiconducteurs,64.51,
2026-04-30,VECO,59.5,50-60,semiconducteurs,49.85,
2026-04-30,TSAT,59.4,50-60,espace,49.07,
2026-04-30,AMKR,59.3,50-60,semiconducteurs,69.67,
2026-04-30,UUUU,58.9,50-60,production_energie,21.64,
2026-04-30,DNN,58.7,50-60,production_energie,3.83,
2026-04-30,OSIS,58.2,50-60,defense,286.92,
2026-04-30,ONDS,57.9,50-60,defense|equipement_electrique|espace|laser_photonique|robotique,10.04,
2026-04-30,BLDP,57.8,50-60,production_energie,3.4,
2026-04-30,EMR,57.7,50-60,equipement_electrique,139.87,
2026-04-30,AAOI,57.4,50-60,laser_photonique|semiconducteurs,164.36,
2026-04-30,MCHP,57.4,50-60,semiconducteurs,92.45,
2026-04-30,POWI,57.3,50-60,equipement_electrique|semiconducteurs,72.53,
2026-04-30,ATRO,57.3,50-60,defense,56.98,
2026-04-30,CEG,56.8,50-60,production_energie,312.51,
2026-04-30,MASS,56.6,50-60,robotique,6.83,
2026-04-30,BWXT,56.6,50-60,defense|gestion_thermique|production_energie,216.1,
2026-04-30,PDFS,56.6,50-60,semiconducteurs,42.85,
2026-04-30,IRDM,56.4,50-60,espace,38.95,
2026-04-30,TXN,56.1,50-60,semiconducteurs,279.66,
2026-04-30,COHU,56.0,50-60,semiconducteurs,47.35,
2026-04-30,HUBB,55.5,50-60,equipement_electrique,506.65,
2026-04-30,IMOS,55.5,50-60,semiconducteurs,45.03,
2026-04-30,QRVO,55.5,50-60,semiconducteurs,94.22,
2026-04-30,RKLB,55.2,50-60,espace|new_tech,82.51,
2026-04-30,IPGP,55.1,50-60,laser_photonique,118.92,
2026-04-30,UEC,54.4,50-60,production_energie,14.89,
2026-04-30,DIOD,54.2,50-60,semiconducteurs,107.15,
2026-04-30,AEVA,53.8,50-60,ia|laser_photonique,15.99,
2026-04-30,CRNC,53.5,50-60,ia,9.1,
2026-04-30,FORM,53.5,50-60,semiconducteurs,135.93,
2026-04-30,TER,53.4,50-60,robotique,343.34,
2026-04-30,PENG,53.1,50-60,semiconducteurs,30.41,
2026-04-30,ASPN,52.8,50-60,robotique,3.71,
2026-04-30,SPXC,52.7,50-60,equipement_electrique|gestion_thermique,218.91,
2026-04-30,OUST,52.4,50-60,laser_photonique|robotique,26.96,
2026-04-30,NBIS,52.4,50-60,ia,138.23,
2026-04-30,LUNR,52.3,50-60,espace,25.35,
2026-04-30,SWKS,51.9,50-60,semiconducteurs,69.57,
2026-04-30,SYM,51.9,50-60,robotique,59.1,
2026-04-30,CRDO,51.8,50-60,ia,174.01,
2026-04-30,AXTI,51.4,50-60,semiconducteurs,79.22,
2026-04-30,BOTT,51.1,50-60,robotique,52.27,
2026-04-30,SATL,50.7,50-60,espace,6.46,
2026-04-30,SLAB,50.7,50-60,semiconducteurs,217.7,
2026-04-30,POWL,50.6,50-60,equipement_electrique,277.17,
2026-04-30,PLUG,50.4,50-60,new_tech|production_energie,3.13,
2026-04-30,GOOGL,50.4,50-60,ia,384.57,
2026-04-30,PWR,50.4,50-60,equipement_electrique,727.66,
2026-05-07,VRT,88.1,70+,equipement_electrique|gestion_thermique|ia,339.94,
2026-05-07,NVDA,85.8,70+,ia|robotique|semiconducteurs,211.25,
2026-05-07,PLAB,84.9,70+,semiconducteurs,50.36,
2026-05-07,TSM,83.2,70+,semiconducteurs,413.18,
2026-05-07,NVEC,82.7,70+,semiconducteurs,87.6,
2026-05-07,ISOU,82.6,70+,production_energie,12.28,
2026-05-07,VSAT,82.1,70+,espace,66.33,
2026-05-07,CAMT,82.0,70+,semiconducteurs,193.08,
2026-05-07,AMAT,81.9,70+,semiconducteurs,410.13,
2026-05-07,CRUS,81.9,70+,semiconducteurs,171.68,
2026-05-07,ENS,81.9,70+,equipement_electrique,222.69,
2026-05-07,LRCX,81.4,70+,semiconducteurs,286.32,
