ticker_tv,ticker_yf,exchange_yf,exchange_tv,country,sector,industry,market_cap,price,technical_local,tech_score,rsi,sma20,sma50,sma200,macd,macds,stoch_k,stoch_d,tv_reco,tv_buy,tv_neutral,tv_sell,analyst_mean,analyst_votes,analyst_bucket
SNPS,SNPS,NMS,NASDAQ,United States,Technology,Software - Infrastructure,111677758494.14062,603.52001953125,Neutral,1,50.38597380509618,614.035498046875,581.586201171875,510.7212496948242,3.655187446120408,7.762611104622685,37.020496965533034,27.33792194008758,,,,,1.36364,22.0,Strong Buy
FOUR,FOUR,NYQ,NASDAQ,United States,Technology,Software - Infrastructure,8094099951.315308,90.43000030517578,Neutral,1,45.39283497418491,88.9379997253418,96.77940002441406,97.04284980773926,-1.7563559553514807,-2.3096833297001105,78.9923745959171,78.49546952755732,,,,,1.54545,21.0,Strong Buy
THC,THC,NYQ,NASDAQ,United States,Healthcare,Medical Care Facilities,16285739991.775513,184.3300018310547,Strong Buy,6,68.12022387521232,173.11249923706055,170.13639923095704,147.43769992828368,4.833966060014262,3.5876541711125975,96.16592107212796,93.26389378145461,,,,,1.59091,21.0,Strong Buy
DAL,DAL,NYQ,NASDAQ,United States,Industrials,Airlines,40339124665.984375,61.779998779296875,Strong Buy,6,64.22399843319343,58.20399971008301,54.838672485351566,54.713629779815676,2.0793379512513894,1.8957403723949189,92.128561284385,90.98799396381071,,,,,1.45455,21.0,Strong Buy
CTVA,CTVA,NYQ,NASDAQ,United States,Basic Materials,Agricultural Inputs,50382433032.03906,74.19000244140625,Buy,2,58.35514330954222,72.59450073242188,73.37640045166016,65.11686052322388,0.4453835404769677,0.1516701027813355,85.47969996427453,92.02468287498446,,,,,1.56522,21.0,Strong Buy
SPGI,SPGI,NYQ,NASDAQ,United States,Financial Services,Financial Data & Stock Exchanges,167438732745.36133,548.4400024414062,Neutral,-1,50.85589977081162,555.4423736572265,537.5274481201172,511.54247451782226,3.3655538327913064,5.564546435947316,7.406833081221026,10.539717168004088,,,,,1.375,21.0,Strong Buy
RARE,RARE,NMS,NASDAQ,United States,Healthcare,Biotechnology,2887293047.769165,29.959999084472656,Neutral,1,53.110096916490434,29.03100004196167,30.9386999130249,38.18179988861084,-0.0016989020296627189,-0.31526055624736415,86.24210570257567,82.88663302942683,,,,,1.38095,20.0,Strong Buy
PR,PR,NYQ,NASDAQ,United States,Energy,Oil & Gas E&P,11566254633.44403,14.289999961853027,Strong Buy,4,58.769776357627485,13.590499973297119,13.771199989318848,13.657949266433716,0.12922234594738136,0.005859916759659134,92.12223909203111,88.81192214604262,,,,,1.28571,20.0,Strong Buy
RBRK,RBRK,NYQ,NASDAQ,United States,Technology,Software - Infrastructure,17298273780.046875,89.4000015258789,Buy,3,52.536973881950644,87.65749931335449,87.85679916381837,74.01469968795776,0.20798311047514062,-0.2446298526209753,71.9278657528277,62.87845152335745,,,,,1.33333,20.0,Strong Buy
NTRA,NTRA,NMS,NASDAQ,United States,Healthcare,Diagnostics & Research,23091976000.0,168.25,Strong Buy,4,64.8843916749644,157.03349990844725,154.61690002441406,157.6645249938965,4.78527256495255,3.5772266108434105,88.77841431005372,85.543212858307,,,,,1.45,20.0,Strong Buy
UAL,UAL,NMS,NASDAQ,United States,Industrials,Airlines,33991860000.0,105.0,Strong Buy,4,68.36087428000097,97.69000091552735,90.20580047607422,87.77995014190674,4.337857529784017,3.9918626667256953,92.71711029199354,94.35984312304362,,,,,1.45455,20.0,Strong Buy
LYV,LYV,NYQ,NASDAQ,United States,Communication Services,Entertainment,38617356774.139404,166.49000549316406,Strong Buy,4,70.3530611168475,159.6474983215332,153.21899993896486,140.237999420166,4.323166593337589,3.9377696743680906,94.28117382945099,95.41268862610418,,,,,1.47619,20.0,Strong Buy
HWM,HWM,NYQ,NASDAQ,United States,Industrials,Aerospace & Defense,70184241846.08594,174.10000610351562,Neutral,0,44.62131924530216,176.17107467651368,180.03777465820312,144.44523021697998,-1.8707840563293132,-1.916924501277336,45.35327419465751,42.71406280275215,,,,,1.43478,20.0,Strong Buy
TDG,TDG,NYQ,NASDAQ,United States,Industrials,Aerospace & Defense,78827307939.14795,1398.8800048828125,Sell,-2,39.85140707726431,1413.9855041503906,1494.5915991210939,1380.706748046875,-31.130923114751113,-33.13414034289948,26.767607945187834,32.71659187363854,,,,,1.57143,20.0,Strong Buy
TRGP,TRGP,NYQ,NASDAQ,United States,Energy,Oil & Gas Midstream,36100608737.91504,167.75999450683594,Buy,2,56.4121992848789,164.36350021362304,166.74372253417968,179.00970138549803,-0.2554626877945054,-0.8034509043629257,74.84064558461618,55.52576660148363,,,,,1.33333,19.0,Strong Buy
VKTX,VKTX,NCM,NASDAQ,United States,Healthcare,Biotechnology,3246757308.4259033,27.049999237060547,Sell,-2,40.22529353174058,32.49350004196167,31.150400009155273,33.056599941253666,-1.789943109153203,-0.8054630696837505,20.364532889796227,18.17385869009431,,,,,1.55556,18.0,Strong Buy
BRX,BRX,NYQ,NASDAQ,United States,Real Estate,REIT - Retail,8567738929.93927,27.989999771118164,Strong Buy,6,65.64319427735803,26.84699993133545,26.192624015808107,26.1423540019989,0.5424230919743671,0.415677358998794,93.95271041253926,90.51154445312504,,,,,1.5,18.0,Strong Buy
VTR,VTR,NYQ,NASDAQ,United States,Real Estate,REIT - Healthcare Facilities,30940387056.80127,68.08000183105469,Buy,2,55.107668371409886,68.15950050354004,66.06133041381835,63.84332344055176,0.4145856326890396,0.5987749407428193,37.49996862914373,34.64906887115945,,,,,1.5,18.0,Strong Buy
TJX,TJX,NYQ,NASDAQ,United States,Consumer Cyclical,Apparel Retail,152404844509.4004,136.61000061035156,Strong Buy,4,65.88087752698718,133.9350814819336,127.99980453491212,124.29707019805909,2.7212177647264184,2.682859168875845,41.05445405083831,42.318443599034765,,,,,1.47619,18.0,Strong Buy
CZR,CZR,NMS,NASDAQ,United States,Consumer Cyclical,Resorts & Casinos,5567945935.211182,26.770000457763672,Neutral,1,51.86807431467169,25.53199996948242,27.753600006103515,30.54275002479553,-0.18736556041153207,-0.5194494476241567,89.44978680394105,87.25008732590607,,,,,1.52941,17.0,Strong Buy
GXO,GXO,NYQ,NASDAQ,United States,Industrials,Integrated Freight & Logistics,6057909175.567627,52.650001525878906,Neutral,1,54.17770894281508,52.08000030517578,51.01500022888184,45.1174499797821,0.833329177869949,0.9149273402125254,60.54623649125847,67.14573499648708,,,,,1.58824,17.0,Strong Buy
MTDR,MTDR,NYQ,NASDAQ,United States,Energy,Oil & Gas E&P,6269517915.985107,50.36000061035156,Buy,2,60.47396605643063,47.529508399963376,49.0405094909668,50.18086313247681,0.24171407108742216,-0.23354189913487944,95.331397635709,92.38263874956782,,,,,1.38889,17.0,Strong Buy
WYNN,WYNN,NMS,NASDAQ,United States,Consumer Cyclical,Resorts & Casinos,13179084750.0,126.75,Strong Buy,4,79.00131235116046,112.93608245849609,107.85992080688476,91.22628997802734,4.687980669111283,3.181330357314172,93.70500282490887,95.10203903133669,,,,,1.5,17.0,Strong Buy
MTZ,MTZ,NYQ,NASDAQ,United States,Industrials,Engineering & Construction,14553787809.322266,181.69000244140625,Strong Buy,5,54.348294925927185,179.32649917602538,176.53220001220703,147.71600036621095,1.0563553876680487,0.9044728711721041,74.2940642839522,71.08584793772972,,,,,1.41176,17.0,Strong Buy
TKO,TKO,NYQ,NASDAQ,United States,Communication Services,Entertainment,15617506990.856934,189.55999755859375,Strong Buy,4,64.13662322979825,180.1854995727539,175.4702001953125,156.8388055419922,4.620513471963079,4.149996071032405,75.27386973072652,76.28065118013929,,,,,1.47368,17.0,Strong Buy
DNLI,DNLI,NMS,NASDAQ,United States,Healthcare,Biotechnology,2232657306.930542,15.270000457763672,Buy,2,56.65600432766469,14.74375,14.427899971008301,17.434049978256226,0.36231627732257543,0.26493537790624927,79.13485204849695,80.7633489386456,,,,,1.15789,16.0,Strong Buy
PEN,PEN,NYQ,NASDAQ,United States,Healthcare,Medical Devices,10632715195.275879,272.6400146484375,Strong Buy,4,69.98241303831747,253.7585021972656,247.41540130615235,260.8492007446289,6.918516559493185,4.651100493973868,95.33127665884676,91.80071585551265,,,,,1.55556,16.0,Strong Buy
BROS,BROS,NYQ,NASDAQ,United States,Consumer Cyclical,Restaurants,11817400645.8833,71.83000183105469,Strong Buy,4,60.61201134039444,66.10799980163574,64.94359992980957,62.93550004959106,2.267907350247299,1.2047282877506755,87.570517873598,90.7969457672259,,,,,1.47059,16.0,Strong Buy
VNOM,VNOM,NMS,NASDAQ,United States,Energy,Oil & Gas Midstream,12997679105.720703,39.845001220703125,Strong Buy,4,61.375825566307704,38.04170398712158,37.6575220489502,42.598117961883545,0.5487679832720147,0.25523345726353863,90.09705376982429,89.61313094967285,,,,,1.25,16.0,Strong Buy
BURL,BURL,NYQ,NASDAQ,United States,Consumer Cyclical,Apparel Retail,18338041493.93921,290.67999267578125,Strong Buy,4,62.595799186572336,280.2725006103516,265.0688003540039,259.2830497741699,5.170678666771948,4.859796903977424,59.35350685603635,59.596663171332274,,,,,1.27778,16.0,Strong Buy
INSM,INSM,NMS,NASDAQ,United States,Healthcare,Biotechnology,28768139878.930664,136.10000610351562,Strong Buy,6,79.63827073026579,124.03850135803222,110.80280029296875,83.35590007781983,7.805630858127657,7.411823702272092,96.33420649407454,94.5378382707929,,,,,1.22222,16.0,Strong Buy
ALAB,ALAB,NMS,NASDAQ,United States,Technology,Semiconductors,30285102750.339844,182.1999969482422,Strong Buy,4,62.989085841146455,176.47299728393554,132.47109909057616,102.24317491531372,14.040218437146734,16.327810831584486,58.105730420325926,51.779077045849625,,,,,1.5625,16.0,Strong Buy
DD,DD,NYQ,NASDAQ,United States,Basic Materials,Specialty Chemicals,32207710257.94629,76.91999816894531,Buy,2,61.422339652885576,73.90700073242188,73.27860000610352,73.50012594223023,1.2952664360552433,0.8676840716668637,90.81936802802652,94.09718986652506,,,,,1.41176,16.0,Strong Buy
CHRD,CHRD,NMS,NASDAQ,United States,Energy,Oil & Gas E&P,6292092574.052429,109.88999938964844,Buy,2,64.25483807379048,103.07416877746581,103.6585499572754,104.71105560302735,1.3238067947663552,0.3447167185389133,93.94034217736531,92.5794582146096,,,,,1.53333,15.0,Strong Buy
WH,WH,NYQ,NASDAQ,United States,Consumer Cyclical,Lodging,6613210528.604126,86.61000061035156,Sell,-3,48.54343988849587,86.88900032043458,86.09440017700196,91.93194034576416,0.35791627982837326,0.4386013189731965,51.4332073285309,57.293009224962724,,,,,1.46667,15.0,Strong Buy
RVMD,RVMD,NMS,NASDAQ,United States,Healthcare,Biotechnology,7097845934.4296875,37.970001220703125,Buy,2,56.122324823135656,36.523999977111814,37.3271997833252,40.89017496109009,0.09805253527934354,-0.2167714490816013,80.97821447217491,79.58922798016765,,,,,1.3125,15.0,Strong Buy
WAL,WAL,NYQ,NASDAQ,United States,Financial Services,Banks - Regional,9883544286.819458,89.55000305175781,Strong Buy,6,68.39874398269933,82.88984489440918,81.4419808959961,80.24319486618042,2.3802005809072853,1.6029039065131856,95.75061579910984,93.65238230743402,,,,,1.46667,15.0,Strong Buy
USFD,USFD,NYQ,NASDAQ,United States,Consumer Defensive,Food Distribution,17473346856.414795,77.5999984741211,Sell,-2,43.520906637871185,78.8089988708496,79.79779968261718,71.87749990463257,-0.87972819898269,-0.7841340104208832,42.99200365162137,34.49534421639541,,,,,1.4375,15.0,Strong Buy
BRBR,BRBR,NYQ,NASDAQ,United States,Consumer Defensive,Packaged Foods,5171437853.885651,41.04999923706055,Neutral,0,39.64824915440007,40.05400009155274,50.26040008544922,66.54935010910035,-2.951095609570828,-3.7642589502886534,84.0758772070631,72.69997518758196,,,,,1.46667,14.0,Strong Buy
ALK,ALK,NYQ,NASDAQ,United States,Industrials,Airlines,7239161659.240723,62.779998779296875,Strong Buy,4,69.70157667373408,56.8814998626709,53.57620010375977,56.6008500289917,2.4638569567544266,1.8372963408686873,97.02660952221264,96.93391181584941,,,,,1.42857,14.0,Strong Buy
AXON,AXON,NMS,NASDAQ,United States,Industrials,Aerospace & Defense,58665551351.049805,747.2899780273438,Neutral,0,44.36545625157464,785.8965026855469,771.7755969238282,661.7335005187988,-1.7804510158691755,1.0549436093466211,29.06260260634956,28.09520244524019,,,,,1.55556,14.0,Strong Buy
ELF,ELF,NYQ,NASDAQ,United States,Consumer Defensive,Household & Personal Products,7091862500.0,125.0,Strong Buy,4,56.457915445791876,116.61049995422363,118.09440017700196,100.4876001739502,2.1860261343913123,1.150278743547454,84.72773577300346,83.18632126651966,,,,,1.4,13.0,Strong Buy
TECH,TECH,NMS,NASDAQ,United States,Healthcare,Biotechnology,8497696666.145325,54.630001068115234,Neutral,1,51.217698883455924,53.823321151733396,53.51691337585449,60.19529861450195,0.5916564651100202,0.513578793518208,67.7286958960919,77.99367645963564,,,,,1.5625,13.0,Strong Buy
TLN,TLN,NMS,NASDAQ,United States,Utilities,Utilities - Independent Power Producers,17735957500.50659,378.9200134277344,Strong Buy,4,60.41467792769092,374.75950012207034,333.2777990722656,248.19009971618652,11.155126083778782,13.163918011812648,78.77805951189107,73.31276444152223,,,,,1.38462,13.0,Strong Buy
CASY,CASY,NMS,NASDAQ,United States,Consumer Cyclical,Specialty Retail,18386747711.517334,494.5199890136719,Sell,-2,35.351878170096676,509.3775039672852,513.54060546875,448.2122123718262,-4.770100206376696,-2.5020438312349023,18.252704155071374,15.315184266344204,,,,,1.53333,13.0,Strong Buy
STLD,STLD,NMS,NASDAQ,United States,Basic Materials,Steel,19272077283.09961,130.9199981689453,Neutral,1,54.541462147211156,127.07900009155273,129.15010650634767,127.91383331298829,0.978834571373568,0.19118530564916975,81.05616679335603,84.36314065989468,,,,,1.46154,13.0,Strong Buy
DAR,DAR,NYQ,NASDAQ,United States,Consumer Defensive,Packaged Foods,5371996415.176392,33.959999084472656,Neutral,1,53.76813964677155,32.10099983215332,34.74959980010986,34.631899967193604,0.1494071069541434,-0.3495117742541594,70.34243243400687,74.84515824160519,,,,,1.58333,12.0,Strong Buy
ALGM,ALGM,NMS,NASDAQ,United States,Technology,Semiconductors,5923138373.241425,30.850000381469727,Sell,-2,43.66355845132709,31.152999782562254,33.23469982147217,26.08992498397827,-0.3591467058543003,-0.47362445655934937,50.27546501681277,56.62066898202476,,,,,1.33333,12.0,Strong Buy
EHC,EHC,NYQ,NASDAQ,United States,Healthcare,Medical Care Facilities,12434374938.156128,121.76000213623047,Strong Buy,4,60.573025332639595,119.71200027465821,116.6637060546875,106.75958255767823,2.3499818888304276,2.15053587720328,77.81325522497484,78.59186533217901,,,,,1.15385,12.0,Strong Buy
NI,NI,NYQ,NASDAQ,United States,Utilities,Utilities - Regulated Gas,19903041403.700317,42.27000045776367,Neutral,-1,52.93405185637421,42.40349998474121,41.171812210083004,38.634231109619144,0.3004218749164238,0.40845496336353093,48.44118777100829,56.071394185596034,,,,,1.5,12.0,Strong Buy
MSTR,MSTR,NMS,NASDAQ,United States,Technology,Software - Application,96079001066.87695,334.4100036621094,Strong Sell,-4,37.04114130763873,365.95850067138673,390.24280029296875,357.4499004364014,-16.143282264683364,-13.838050958751818,15.054650614360762,19.472671938246695,,,,,1.58333,12.0,Strong Buy
SLGN,SLGN,NYQ,NASDAQ,United States,Consumer Cyclical,Packaging & Containers,5020111364.089966,46.91999816894531,Neutral,0,41.68793674020511,46.46049976348877,51.23479995727539,52.34074234008789,-1.2546983475453217,-1.6050099703874197,53.93078960074613,44.65407296112024,,,,,1.36364,11.0,Strong Buy
SLM,SLM,NMS,NASDAQ,United States,Financial Services,Credit Services,6521285572.912537,31.280000686645508,Neutral,-1,45.9641905989896,31.57150001525879,32.30540004730224,29.684896516799927,-0.24651779597151346,-0.2859597868732294,52.42010468650659,56.499255349724336,,,,,1.54545,11.0,Strong Buy
CHDN,CHDN,NMS,NASDAQ,United States,Consumer Cyclical,Gambling,7273994289.322632,103.7300033569336,Neutral,-1,49.26403069478496,103.06500129699707,104.51600051879883,112.8946019744873,-0.25233682864585205,-0.35751811702012326,62.95063821875336,71.83531340009424,,,,,1.27273,11.0,Strong Buy
