ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
TATT,defense,60.6,Squeeze / VCP prêt à casser,47.6,59.5,0.216,-1.06,8.55,17.94,12626123.0,4.6,36.8,21.0,0.0,0.0,0.874,0.732,0.529,0.5,1.0,0.845,0.476,0.127,641115094.6252289,,,0,1,2026-01-05,49.22,-3.29,182
PLPC,equipement_electrique,59.9,En base (loin du pivot),368.77,47.0,-1.387,-6.29,-8.9,-4.84,39922391.0,11.0,26.0,32.0,0.73,0.0,0.948,1.0,0.519,0.363,0.375,0.315,0.794,0.633,1792409596.1408691,,,0,1,2026-01-05,225.12,63.81,182
AMBA,ia|semiconducteurs,59.5,En base (loin du pivot),78.36,55.2,1.967,-11.3,22.23,-0.03,133280464.0,18.7,38.7,78.0,0.0,0.0,0.753,0.628,0.133,0.5,0.0,0.978,0.865,0.368,3634917835.8750153,Direction,5.0,1,16,2026-01-05,77.11,1.62,182
AMD,ia|semiconducteurs,58.4,En base (loin du pivot),517.82,52.3,-3.485,-4.26,-2.77,-0.71,16559586317.0,11.4,51.1,40.0,0.67,0.0,1.0,0.0,0.362,0.461,0.32,0.547,0.913,0.619,909858834631.7756,Direction,5.0,1,219,2026-01-05,221.08,134.22,182
ASML,semiconducteurs,57.3,En base (loin du pivot),1769.32,49.7,-13.36,-4.0,-3.9,3.75,4393714288.0,11.5,31.8,48.0,0.0,0.0,0.957,1.0,0.31,0.028,0.308,0.513,0.873,0.616,710960705151.861,,,0,42,2026-01-05,1223.9,44.56,182
QTUM,quantique,57.1,Setup en formation,155.01,47.3,-1.436,-3.34,-3.26,-8.0,141349437.0,8.7,25.0,56.0,0.0,0.0,0.88,1.0,0.274,0.0,0.667,0.376,0.802,0.711,,,,0,7,2026-01-05,114.24,35.69,182
LMT,defense,56.8,Momentum en formation,545.91,59.7,2.72,4.62,8.1,6.33,720034711.0,5.2,14.9,59.0,0.33,0.0,0.3,1.0,0.248,0.444,1.0,0.948,0.397,0.296,124170028273.90285,,,0,59,2026-01-05,505.58,7.98,182
RTX,defense,56.8,Momentum en formation,199.25,68.2,1.175,3.9,6.78,14.34,1015143363.0,-2.6,12.4,67.0,0.31,0.0,0.764,1.0,0.275,0.538,0.0,0.749,0.405,0.776,270343328174.62863,,,0,35,2026-01-05,186.86,6.63,182
TXN,semiconducteurs,56.6,En base (loin du pivot),293.08,47.8,-2.666,-1.79,-6.01,-4.88,3190205794.0,12.3,30.2,48.0,0.0,0.0,0.828,1.0,0.314,0.139,0.218,0.679,0.746,0.591,276313258944.07263,,,0,27,2026-01-05,175.13,67.35,182
NVEC,semiconducteurs,56.5,En base (loin du pivot),98.22,48.1,-1.244,-7.31,4.13,-12.63,28261699.0,19.0,38.8,70.0,0.0,0.0,0.817,0.622,0.238,0.5,0.0,0.748,0.841,0.368,477331641.0361862,Direction,14.0,1,0,2026-01-20,66.49,47.72,167
GOOGL,ia,55.2,En base (loin du pivot),359.91,49.5,0.494,-0.36,4.71,-0.48,13625963054.0,11.9,19.1,37.0,0.0,0.0,0.7,1.0,0.4,0.0,0.267,0.88,0.627,0.604,4444177282538.991,Direction,25.0,1,250,2026-01-05,316.13,13.85,182
MXL,semiconducteurs,54.0,En base (loin du pivot),93.12,50.6,1.439,-17.15,-1.43,4.91,371002091.0,27.4,74.7,79.0,0.99,0.0,1.0,0.0,0.166,0.71,0.0,0.808,0.873,0.086,8984414720.743355,,,0,,2026-01-05,18.13,413.62,182
ICHR,semiconducteurs,53.7,En base (loin du pivot),98.22,57.9,1.234,-12.12,3.36,31.05,123232928.0,13.5,50.2,80.0,0.0,0.0,1.0,0.0,0.119,0.426,0.06,0.539,0.96,0.549,3442075514.722321,,,0,,2026-01-05,20.94,369.05,182
LSCC,ia|semiconducteurs,53.2,En base (loin du pivot),136.53,46.2,-1.285,-6.68,-5.32,-9.79,298695892.0,13.0,30.4,22.0,0.46,0.0,0.908,1.0,0.467,0.232,0.12,0.306,0.778,0.565,18848855508.6602,Contrat,6.0,1,,2026-01-05,80.59,69.41,182
OUST,laser_photonique|robotique,52.7,En base (loin du pivot),49.84,55.5,0.916,-16.96,19.18,8.28,251682362.0,21.9,63.0,88.0,0.0,0.0,1.0,0.0,0.071,0.326,0.0,0.857,0.976,0.271,3330101499.3400307,Vote actionnaires,18.0,1,,2026-04-16,24.17,106.21,81
CRNC,ia,52.6,En base (loin du pivot),10.71,50.7,0.029,-7.11,8.73,-18.24,10148506.0,19.3,40.4,33.0,0.44,0.0,0.794,0.536,0.713,0.346,0.0,0.872,0.643,0.265,494128710.37655926,Direction,4.0,1,,2026-01-05,11.09,-3.43,182
PDFS,semiconducteurs,52.0,En base (loin du pivot),59.18,49.4,-0.543,-11.51,-13.82,6.67,54997092.0,17.5,47.5,53.0,0.06,0.0,1.0,0.141,0.281,0.528,0.0,0.46,0.873,0.418,2427490386.4344788,Vote actionnaires,18.0,1,,2026-01-05,30.97,91.09,182
