ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
LYV,LYV,NYQ,37385699301.14746,161.17999267578125,Communication Services,Movies & Entertainment,Neutral,1,,Strong Buy,1.47619,20.0
LKQ,LKQ,NMS,8247526937.07959,32.05500030517578,Consumer Discretionary,Distributors,Neutral,-1,,Buy,1.71429,6.0
LOAR,LOAR,NYQ,6794184506.148682,72.56999969482422,Industrials,Aerospace & Defense,Neutral,-1,,Strong Buy,1.5,4.0
LMT,LMT,NYQ,104767415160.0,448.75,Industrials,Aerospace & Defense,Neutral,0,,Hold,2.55,18.0
L,L,NYQ,20029054053.588867,96.55999755859375,Financials,Multi-line Insurance,Buy,2,,,,
LPX,LPX,NYQ,6478599343.307495,92.45500183105469,Materials,Forest Products,Sell,-3,,Hold,2.7,10.0
LOW,LOW,NYQ,146185097800.20117,260.6607971191406,Consumer Discretionary,Home Improvement Retail,Neutral,0,,Buy,1.97143,31.0
LPLA,LPLA,NMS,28399854877.03125,354.9800109863281,Financials,Capital Markets,Sell,-2,,Buy,2.0,12.0
LCID,LCID,NMS,5201680789.437378,16.929800033569336,Consumer Discretionary,Automobile Manufacturers,Strong Sell,-6,,Hold,3.14286,12.0
LITE,LITE,NMS,9234489042.663574,132.11000061035156,Information Technology,Communication Equipment,Strong Buy,4,,Buy,1.63158,19.0
LYFT,LYFT,NMS,6927803648.2890625,17.045000076293945,Industrials,Passenger Ground Transportation,Strong Buy,6,,Buy,2.47619,35.0
LYB,LYB,NYQ,17587712738.15918,54.68000030517578,Materials,Specialty Chemicals,Neutral,-1,,Hold,2.9,18.0
MTB,MTB,NYQ,30858438040.998047,197.47000122070312,Financials,Regional Banks,Buy,2,,,,19.0
MTSI,MTSI,NMS,9969397964.396484,128.1300048828125,Information Technology,Semiconductors,Neutral,1,,Buy,1.73333,14.0
M,M,NYQ,4310697500.0,15.875,Consumer Discretionary,Department Stores,Strong Buy,4,,Hold,2.84615,11.0
