ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,local_label,tv_reco,tv_symbol_used,tv_exchange_used,bc_label,bc_score,final_signal,analyst_bucket,analyst_mean,analyst_votes,inv_d_label,inv_w_label,inv_m_label,inv_d_vote,inv_w_vote,inv_m_vote,rank_score
CCL,CCL,NYQ,43278947090.76831,31.329999923706055,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.71429,22.0,,,,,,,5.3999999999999995
BKR,BKR,NMS,44870806080.0,45.0,Energy,Oil & Gas Equipment & Services,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.91304,21.0,,,,,,,5.3999999999999995
EW,EW,NYQ,48059415953.0332,81.22000122070312,Health Care,Health Care Equipment,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.15152,30.0,,,,,,,5.3999999999999995
LNG,LNG,NYQ,52610261385.86426,239.38999938964844,Energy,Oil & Gas Midstream,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.6087,21.0,,,,,,,5.3999999999999995
GM,GM,NYQ,54982505424.0,57.75,Consumer Discretionary,Automobile Manufacturers,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.25,25.0,,,,,,,5.3999999999999995
TFC,TFC,NYQ,59842910203.24707,46.40999984741211,Financials,Regional Banks,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.18182,21.0,,,,,,,5.3999999999999995
MNST,MNST,NMS,62012942673.41797,63.5099983215332,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.16,22.0,,,,,,,5.3999999999999995
HLT,HLT,NYQ,64678350000.0,275.0,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.32,24.0,,,,,,,5.3999999999999995
ADSK,ADSK,NMS,67629632080.078125,317.510009765625,Information Technology,Application Software,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,1.6129,29.0,,,,,,,5.3999999999999995
SPG,SPG,NYQ,67844452689.10889,179.86000061035156,Real Estate,Retail REITs,Strong Buy,4,STRONG_BUY,,,,,,STRONG_BUY,Buy,2.25,20.0,,,,,,,5.3999999999999995
