ticker_yf,ticker_tv,mcap_usd,avg_dollar_vol,sector,industry
UPS,UPS,,687685029.0575409,industrials,Air Freight & Logistics
LMT,LMT,,681385525.7086182,industrials,Aerospace & Defense
ADSK,ADSK,,679725830.8044434,information technology,Application Software
TEM,TEM,,675790514.6368408,health care,Unknown
TMO,TMO,,660792378.1420898,health care,Life Sciences Tools & Services
MS,MS,,655321285.5212402,financials,Investment Banking & Brokerage
ETN,ETN,,654159135.5050659,industrials,Electrical Components & Equipment
DDOG,DDOG,,647802643.0149841,information technology,Application Software
PYPL,PYPL,,638870745.4049683,financials,Transaction & Payment Processing Services
BSX,BSX,,637996774.8753357,health care,Health Care Equipment
RGTI,RGTI,,635000320.9248161,information technology,COMPUTER HARDWARE
ELV,ELV,,632710429.3939209,health care,Managed Health Care
NSC,NSC,,630689000.4754639,industrials,Rail Transportation
ABT,ABT,,630118876.2231445,health care,Health Care Equipment
SNPS,SNPS,,627092427.4688721,information technology,Application Software
HPE,HPE,,617429834.3632507,information technology,"Technology Hardware, Storage & Peripherals"
DE,DE,,616460556.0775757,industrials,Agricultural & Farm Machinery
ZS,ZS,,613357317.4362183,information technology,Application Software
OKTA,OKTA,,609062875.7462311,information technology,Application Software
PGR,PGR,,597669558.7850952,financials,Property & Casualty Insurance
MCHP,MCHP,,596416985.9740448,information technology,Semiconductors
LITE,LITE,,591766127.5614929,information technology,Unknown
DHR,DHR,,579803063.9361572,health care,Life Sciences Tools & Services
REGN,REGN,,574354755.9417725,health care,Biotechnology
SPGI,SPGI,,573992402.5268555,financials,Financial Exchanges & Data
VRTX,VRTX,,572795055.2822876,health care,Biotechnology
MCK,MCK,,554136917.4279785,health care,Health Care Distributors
GILD,GILD,,553354294.5288849,health care,Biotechnology
RTX,RTX,,553157912.0043945,industrials,Aerospace & Defense
AMGN,AMGN,,549187399.3301392,health care,Biotechnology
RIOT,RIOT,,543932966.6777515,financials,CAPITAL MARKETS
FI,FI,,542406379.5755005,financials,Transaction & Payment Processing Services
CME,CME,,538360313.3779907,financials,Financial Exchanges & Data
TT,TT,,535760267.39501953,industrials,Building Products
FICO,FICO,,518444521.54663086,information technology,Application Software
URI,URI,,512865474.01672363,industrials,Trading Companies & Distributors
MDT,MDT,,511489741.4592743,health care,Health Care Equipment
BX,BX,,508202763.6457825,financials,Asset Management & Custody Banks
KEY,KEY,,507358351.7256737,financials,Regional Banks
VEEV,VEEV,,506115824.95544434,health care,Unknown
RF,RF,,500573312.5361252,financials,Regional Banks
FTNT,FTNT,,495502991.4339447,information technology,Systems Software
GLW,GLW,,486157218.1347656,information technology,Electronic Components
BLK,BLK,,483641486.6064453,financials,Asset Management & Custody Banks
HBAN,HBAN,,482981172.7804947,financials,Regional Banks
APO,APO,,480112873.1401062,financials,Asset Management & Custody Banks
XYZ,XYZ,,471248082.151947,financials,Transaction & Payment Processing Services
JCI,JCI,,466700598.01490784,industrials,Building Products
FSLR,FSLR,,466606617.67318726,information technology,Semiconductors
U,U,,465892137.8417206,information technology,Unknown
BMY,BMY,,465839919.4687271,health care,Health Care Distributors
UAL,UAL,,464539574.49256897,industrials,Passenger Airlines
CTAS,CTAS,,464106602.92800903,industrials,Diversified Support Services
PH,PH,,462428944.5751953,industrials,Industrial Machinery & Supplies & Components
ADP,ADP,,459490816.9177246,industrials,Human Resource & Employment Services
PSTG,PSTG,,452032527.477417,information technology,Unknown
MSI,MSI,,448402198.1390381,information technology,Communications Equipment
CI,CI,,445923328.5064697,health care,Managed Health Care
CB,CB,,445883335.6719971,financials,Property & Casualty Insurance
ICE,ICE,,441767379.8913574,financials,Financial Exchanges & Data
TDG,TDG,,440485889.4042969,industrials,Aerospace & Defense
USB,USB,,439954389.7084427,financials,Diversified Banks
ALNY,ALNY,,435144086.3687134,health care,Unknown
UPST,UPST,,432728663.8646698,financials,CREDIT SERVICES
AJG,AJG,,428715822.1029663,financials,Insurance Brokers
CVS,CVS,,421367355.00190735,health care,Health Care Services
KKR,KKR,,415896716.05285645,financials,Asset Management & Custody Banks
UTHR,UTHR,,415646453.092041,health care,Biotechnology
ZM,ZM,,414931949.66438293,information technology,Application Software
TER,TER,,413055458.45329285,information technology,Semiconductor Materials & Equipment
HCA,HCA,,412243209.06463623,health care,Health Care Facilities
MMM,MMM,,411167277.903595,industrials,Industrial Conglomerates
TEAM,TEAM,,409439808.5725403,information technology,Application Software
CDNS,CDNS,,409088192.53204346,information technology,Application Software
HUM,HUM,,405544814.6130371,health care,Managed Health Care
COHR,COHR,,405496478.04878235,information technology,Electronic Components
FUTU,FUTU,,405192733.6265564,financials,CAPITAL MARKETS
HWM,HWM,,400032531.9871521,industrials,Aerospace & Defense
NET,NET,,399158864.17755127,information technology,Unknown
DAL,DAL,,398569459.40753937,industrials,Passenger Airlines
RKT,RKT,,398313693.1614113,financials,Unknown
MMC,MMC,,396038511.12609863,financials,Insurance Brokers
HUBS,HUBS,,394129871.8765259,information technology,Unknown
MPWR,MPWR,,382842201.02111816,information technology,Semiconductors
EMR,EMR,,378449239.19052124,industrials,Electrical Components & Equipment
AON,AON,,375768291.87194824,financials,Insurance Brokers
CARR,CARR,,371892258.51890564,industrials,Building Products
FDX,FDX,,371190664.94659424,industrials,Air Freight & Logistics
CIEN,CIEN,,370584300.70098877,information technology,Communications Equipment
SYK,SYK,,370383939.20410156,health care,Health Care Equipment
APLD,APLD,,368262262.17427254,information technology,INFORMATION TECHNOLOGY SERVICES
CYBR,CYBR,,366936627.7453613,information technology,SOFTWARE - INFRASTRUCTURE
DXCM,DXCM,,366621621.2613678,health care,Health Care Equipment
COR,COR,,361934366.8951416,health care,Health Care Distributors
ROP,ROP,,360646710.4675293,industrials,Industrial Conglomerates
ON,ON,,360585844.85679626,information technology,Semiconductors
CPRT,CPRT,,358622380.30197144,industrials,Diversified Support Services
WULF,WULF,,357627013.2727146,financials,CAPITAL MARKETS
TFC,TFC,,356811308.011322,financials,Regional Banks
LYFT,LYFT,,354926417.91311264,industrials,Passenger Ground Transportation
NOC,NOC,,352814688.20617676,industrials,Aerospace & Defense
TOST,TOST,,345629305.62610626,information technology,Transaction & Payment Processing Services
CAH,CAH,,344608765.62789917,health care,Health Care Distributors
WM,WM,,343077417.7384949,industrials,Environmental & Facilities Services
PNC,PNC,,338435101.1920166,financials,Regional Banks
INSM,INSM,,337121267.13516235,health care,Biotechnology
AXON,AXON,,337039735.7739258,industrials,Aerospace & Defense
GTLB,GTLB,,336404325.85098267,information technology,Unknown
BDX,BDX,,333571375.3552246,health care,Health Care Equipment
TRV,TRV,,332039648.9135742,financials,Property & Casualty Insurance
CNC,CNC,,330784247.79153824,health care,Managed Health Care
FERG,FERG,,327663529.27719116,industrials,Industrial Machinery & Supplies & Components
AIG,AIG,,320650379.2411041,financials,Property & Casualty Insurance
HPQ,HPQ,,319350763.9302635,information technology,"Technology Hardware, Storage & Peripherals"
MSCI,MSCI,,317750413.58032227,financials,Financial Exchanges & Data
ZTS,ZTS,,316278425.6062317,health care,Pharmaceuticals
GWW,GWW,,315135529.0600586,industrials,Industrial Machinery & Supplies & Components
PWR,PWR,,311821858.107605,industrials,Construction & Engineering
IT,IT,,305810575.72906494,information technology,IT Consulting & Other Services
COO,COO,,305103977.2137451,health care,Health Care Supplies
RMD,RMD,,303598835.54107666,health care,Health Care Equipment
ODFL,ODFL,,302526353.40423584,industrials,Cargo Ground Transportation
MCO,MCO,,301673263.4136963,financials,Financial Exchanges & Data
NTNX,NTNX,,300232950.53718567,information technology,Unknown
BK,BK,,295878169.4817352,financials,Asset Management & Custody Banks
MRNA,MRNA,,294945818.77010345,health care,Biotechnology
BLDR,BLDR,,293224916.18408203,industrials,Building Products
ARGX,ARGX,,292797545.20751953,health care,BIOTECHNOLOGY
IOT,IOT,,292489191.52168274,information technology,Systems Software
NTAP,NTAP,,291132601.31744385,information technology,"Technology Hardware, Storage & Peripherals"
AFL,AFL,,290628807.36724854,financials,Life & Health Insurance
LHX,LHX,,290134814.2184448,industrials,Aerospace & Defense
BILL,BILL,,289404905.46390533,information technology,Unknown
JBL,JBL,,288288003.36624146,information technology,Electronic Manufacturing Services
FCNCA,FCNCA,,277468463.2434082,financials,Unknown
ROK,ROK,,276673793.52783203,industrials,Electrical Components & Equipment
CMI,CMI,,274650382.8652954,industrials,Industrial Machinery & Supplies & Components
ELAN,ELAN,,273795713.7202263,health care,Unknown
FAST,FAST,,273691692.46932983,industrials,Building Products
PAYX,PAYX,,273605437.1586609,industrials,Human Resource & Employment Services
FIX,FIX,,272223945.58410645,industrials,Construction & Engineering
EW,EW,,272061914.74983215,health care,Health Care Equipment
OTIS,OTIS,,271676157.0931244,industrials,Industrial Machinery & Supplies & Components
GD,GD,,268882146.4868164,industrials,Aerospace & Defense
DOCU,DOCU,,266540811.58172607,information technology,Application Software
MOH,MOH,,265413501.24725342,health care,Managed Health Care
A,A,,264325340.08590698,health care,Health Care Equipment
FHN,FHN,,263239149.14758682,financials,Regional Banks
CIFR,CIFR,,263059674.84113693,financials,CAPITAL MARKETS
ESTC,ESTC,,259988901.01913452,information technology,Unknown
TWLO,TWLO,,254214053.02894592,information technology,Unknown
IDXX,IDXX,,251872496.88415527,health care,Health Care Equipment
CTSH,CTSH,,251367070.9651947,information technology,IT Consulting & Other Services
ARES,ARES,,250690606.2211609,financials,Unknown
VRSK,VRSK,,248991762.34375,industrials,Research & Consulting Services
LPLA,LPLA,,248476604.45159912,financials,Unknown
IONS,IONS,,243322325.88947296,health care,Unknown
MET,MET,,242410876.5724945,financials,Life & Health Insurance
ONDS,ONDS,,240631321.86075687,information technology,COMMUNICATION EQUIPMENT
MNDY,MNDY,,240476415.8128357,information technology,SOFTWARE - APPLICATION
NDAQ,NDAQ,,234615742.12501526,financials,Financial Exchanges & Data
ENPH,ENPH,,233934127.1863556,information technology,Electronic Components
ALL,ALL,,233781706.48376465,financials,Property & Casualty Insurance
IQV,IQV,,232665512.99331665,health care,Life Sciences Tools & Services
FIS,FIS,,232639806.8131256,financials,Transaction & Payment Processing Services
CBOE,CBOE,,230864518.1803894,financials,Financial Exchanges & Data
GDDY,GDDY,,230154839.44473267,information technology,Unknown
ENTG,ENTG,,229982952.8832245,information technology,Unknown
PCAR,PCAR,,229692247.46910095,industrials,Construction Machinery & Heavy Transportation Equipment
RSG,RSG,,222856331.94900513,industrials,Environmental & Facilities Services
ITW,ITW,,221571028.14849854,industrials,Industrial Machinery & Supplies & Components
EFX,EFX,,221533019.66064453,industrials,Research & Consulting Services
LUV,LUV,,221154785.08951187,industrials,Passenger Airlines
SNDK,SNDK,,221019509.63481903,information technology,"Technology Hardware, Storage & Peripherals"
AMP,AMP,,216218195.25634766,financials,Asset Management & Custody Banks
GWRE,GWRE,,214962474.1896057,information technology,Unknown
BIIB,BIIB,,214262941.59866333,health care,Biotechnology
LII,LII,,214174967.39746094,industrials,Building Products
CHRW,CHRW,,211934796.87660217,industrials,Air Freight & Logistics
AGNC,AGNC,,210732634.3728161,financials,Unknown
SYF,SYF,,210568013.3557129,financials,Consumer Finance
COLB,COLB,,209505981.93567276,financials,Regional Banks
EME,EME,,207514630.02685547,industrials,Construction & Engineering
TW,TW,,206115180.37223816,financials,Unknown
BRO,BRO,,205115517.40974426,financials,Insurance Brokers
RBRK,RBRK,,202519766.21246338,information technology,Unknown
GEHC,GEHC,,201462323.19023132,health care,Health Care Equipment
CDW,CDW,,198279365.8985901,information technology,Technology Distributors
AME,AME,,197166785.43182373,industrials,Electrical Components & Equipment
AL,AL,,197055832.40898132,industrials,Unknown
STT,STT,,195946106.8070984,financials,Asset Management & Custody Banks
FLEX,FLEX,,192093276.31595612,information technology,Electronic Manufacturing Services
WAB,WAB,,186225049.30496216,industrials,Construction Machinery & Heavy Transportation Equipment
CFG,CFG,,186057593.75144958,financials,Regional Banks
AVTR,AVTR,,185666632.41768837,health care,Unknown
IR,IR,,185665761.3786316,industrials,Industrial Machinery & Supplies & Components
VRSN,VRSN,,184251046.87408447,information technology,Internet Services & Infrastructure
SAIA,SAIA,,182922454.44763184,industrials,Unknown
PODD,PODD,,182498730.5178833,health care,Unknown
HIG,HIG,,182008210.77941895,financials,Property & Casualty Insurance
TROW,TROW,,181526349.56611633,financials,Asset Management & Custody Banks
HUBB,HUBB,,181453480.571225,industrials,Industrial Machinery & Supplies & Components
MTB,MTB,,179573370.51086426,financials,Regional Banks
QXO,QXO,,178964820.24896622,industrials,Unknown
BRKR,BRKR,,178586519.4939804,health care,Health Care Equipment
FITB,FITB,,176706749.05017853,financials,Regional Banks
THC,THC,,175099436.85897827,health care,Health Care Facilities
GPN,GPN,,174790655.96710205,financials,Transaction & Payment Processing Services
HEI,HEI,,174575506.56829834,industrials,Aerospace & Defense
S,S,,174494014.8435402,information technology,Unknown
PRU,PRU,,174256747.01332092,financials,Life & Health Insurance
BWXT,BWXT,,173216399.637146,industrials,Unknown
FTAI,FTAI,,173080873.4225464,industrials,Unknown
BR,BR,,172917212.3564148,industrials,Data Processing & Outsourced Services
XPO,XPO,,171409839.22714233,industrials,Cargo Ground Transportation
SWK,SWK,,171361451.62223816,industrials,Industrial Machinery & Supplies & Components
CFLT,CFLT,,171129075.1163864,information technology,Unknown
BAX,BAX,,170039372.39902496,health care,Health Care Equipment
SRPT,SRPT,,166472992.23295212,health care,Unknown
VKTX,VKTX,,166247909.79631424,health care,Biotechnology
JBHT,JBHT,,165887902.2314453,industrials,Cargo Ground Transportation
ALGN,ALGN,,165448038.830719,health care,Health Care Supplies
WAT,WAT,,164833264.6914673,health care,Health Care Distributors
FTV,FTV,,163802155.46813965,industrials,Industrial Machinery & Supplies & Components
SWKS,SWKS,,163318961.095047,information technology,Semiconductors
COOP,COOP,,162251740.53848267,financials,Commercial & Residential Mortgage Finance
DAY,DAY,,161197208.4993744,industrials,Human Resource & Employment Services
PATH,PATH,,160695238.23290825,information technology,Unknown
TYL,TYL,,160253235.0604248,information technology,Application Software
CG,CG,,160066246.5399933,financials,Unknown
OC,OC,,159961130.95367432,industrials,Building Products
ACGL,ACGL,,159865369.5803833,financials,Reinsurance
HALO,HALO,,159222445.08735657,health care,Biotechnology
KEYS,KEYS,,159076787.70706177,information technology,Electronic Equipment & Instruments
UI,UI,,157012353.6276245,information technology,Unknown
MTD,MTD,,156439818.74023438,health care,Life Sciences Tools & Services
DT,DT,,155931197.44617462,information technology,Unknown
XYL,XYL,,155788214.20578003,industrials,Industrial Machinery & Supplies & Components
MTZ,MTZ,,155086457.988739,industrials,Construction & Engineering
BAH,BAH,,154425605.51460266,industrials,Unknown
PTC,PTC,,153953260.36453247,information technology,Application Software
FNB,FNB,,152831156.38809204,financials,Regional Banks
WTW,WTW,,152564144.3423462,financials,Insurance Brokers
EQH,EQH,,151976449.71588135,financials,Unknown
NTRA,NTRA,,151697538.73138428,health care,Unknown
ALK,ALK,,149384267.2411728,industrials,Passenger Airlines
LSCC,LSCC,,149022807.8540039,information technology,Semiconductors
DOV,DOV,,148040159.66461182,industrials,Industrial Machinery & Supplies & Components
EXAS,EXAS,,146952557.3348999,health care,Unknown
MAS,MAS,,146814552.6132202,industrials,Building Products
RPRX,RPRX,,146313600.88760376,health care,Unknown
INCY,INCY,,145662095.64727783,health care,Biotechnology
FDS,FDS,,143065336.09039307,financials,Financial Exchanges & Data
NLY,NLY,,142646350.74378967,financials,Unknown
OWL,OWL,,142092432.69536972,financials,Unknown
NVT,NVT,,142008368.78715515,industrials,Unknown
EXPD,EXPD,,141723285.35346985,industrials,Air Freight & Logistics
ZBRA,ZBRA,,141392690.1422119,information technology,Electronic Equipment & Instruments
GNRC,GNRC,,141374011.52816772,industrials,Electrical Components & Equipment
WCC,WCC,,141092357.50564575,industrials,Unknown
PEN,PEN,,140908238.81744385,health care,Health Care Equipment
RJF,RJF,,139098994.72686768,financials,Investment Banking & Brokerage
PAYC,PAYC,,138308841.93588257,information technology,Application Software
XP,XP,,137710240.8533287,financials,Investment Banking & Brokerage
ATI,ATI,,137628539.0258789,industrials,Aerospace & Defense
MEDP,MEDP,,137476430.36193848,health care,Unknown
TRU,TRU,,137393757.27722168,industrials,Unknown
ILMN,ILMN,,136779444.23545837,health care,Life Sciences Tools & Services
DGX,DGX,,136388251.81518555,health care,Health Care Services
AKAM,AKAM,,134198814.37644958,information technology,Internet Services & Infrastructure
FFIV,FFIV,,134055935.92956543,information technology,Communications Equipment
CAR,CAR,,132717386.0760498,industrials,Passenger Ground Transportation
CMA,CMA,,132418099.43382263,financials,Diversified Banks
ALLE,ALLE,,131561905.84823608,industrials,Building Products
TDY,TDY,,130290366.24572754,industrials,Aerospace & Defense
BAM,BAM,,130223548.40919495,financials,Asset Management & Custody Banks
UHS,UHS,,129553567.89260864,health care,Health Care Facilities
CSL,CSL,,129023056.68579102,industrials,Industrial Conglomerates
EVR,EVR,,127878687.56256104,financials,Investment Banking & Brokerage
ACM,ACM,,127489266.0848999,industrials,Construction & Engineering
EPAM,EPAM,,127302495.97686768,information technology,IT Consulting & Other Services
MKTX,MKTX,,126524440.87265015,financials,Financial Exchanges & Data
CNH,CNH,,126364226.30498886,industrials,Unknown
WST,WST,,125114742.88421631,health care,Health Care Supplies
PNR,PNR,,124366709.45976257,industrials,Industrial Machinery & Supplies & Components
NTRS,NTRS,,124062514.30236816,financials,Asset Management & Custody Banks
QRVO,QRVO,,123848037.81639099,information technology,Semiconductors
WSO,WSO,,123749915.90026855,industrials,Trading Companies & Distributors
TRMB,TRMB,,120821617.82745361,information technology,Electronic Equipment & Instruments
ZBH,ZBH,,119957767.55119324,health care,Health Care Equipment
GEN,GEN,,118790496.30311966,information technology,Application Software
LDOS,LDOS,,118288061.33453369,industrials,Diversified Support Services
TECH,TECH,,117468170.27484894,health care,Life Sciences Tools & Services
MIDD,MIDD,,116730594.93423462,industrials,Industrial Machinery & Supplies & Components
IEX,IEX,,116373835.33355713,industrials,Industrial Machinery & Supplies & Components
CRL,CRL,,116289040.2420044,health care,Life Sciences Tools & Services
STE,STE,,116120550.19607544,health care,Health Care Equipment
AAOI,AAOI,,115355114.986763,information technology,Communication Equipment
RVTY,RVTY,,114248058.95606995,health care,Health Care Equipment
STRL,STRL,,113292904.2199707,industrials,Engineering & Construction
NBIX,NBIX,,113284096.38961792,health care,Biotechnology
JKHY,JKHY,,111833071.69662476,financials,Transaction & Payment Processing Services
FOUR,FOUR,,109903050.3087616,information technology,Unknown
WWD,WWD,,109782506.34796143,industrials,Electrical Components & Equipment
TIGR,TIGR,,109285576.19976997,financials,Capital Markets
UNM,UNM,,109226531.48956299,financials,Life & Health Insurance
KNX,KNX,,108932877.7256012,industrials,Cargo Ground Transportation
WMS,WMS,,108320254.02435303,industrials,Unknown
HII,HII,,108287993.68103027,industrials,Aerospace & Defense
PCOR,PCOR,,107944570.728302,information technology,Unknown
LH,LH,,107755614.2364502,health care,Health Care Services
PNFP,PNFP,,106930954.41070557,financials,Regional Banks
ALLY,ALLY,,106831901.36989594,financials,Unknown
MLYS,MLYS,,106124193.70976448,health care,Biotechnology
INFA,INFA,,104915548.626194,information technology,Unknown
CACI,CACI,,104638251.07391357,industrials,Diversified Support Services
MTSI,MTSI,,104613948.51737976,information technology,Semiconductors
CPAY,CPAY,,104581338.66271973,financials,Transaction & Payment Processing Services
RRX,RRX,,104030253.10668945,industrials,Electrical Components & Equipment
CNM,CNM,,103867471.78749084,industrials,Trading Companies & Distributors
HSIC,HSIC,,103199913.74900818,health care,Health Care Distributors
TMDX,TMDX,,102865463.07289124,health care,Medical Devices
ONC,ONC,,102766548.01116943,health care,Biotechnology
PI,PI,,102500130.61920166,information technology,Semiconductors
NICE,NICE,,102322311.27243042,information technology,Software - Application
BNTX,BNTX,,101759329.20448303,health care,Biotechnology
TLRY,TLRY,,101222488.62340808,health care,Drug Manufacturers - Specialty & Generic
NUKK,NUKK,,101060727.59549141,information technology,Software - Application
DVA,DVA,,100785327.54974365,health care,Health Care Facilities
WRB,WRB,,100750861.12937927,financials,Property & Casualty Insurance
EG,EG,,100667460.21453857,financials,Reinsurance
MANH,MANH,,99904233.65386963,information technology,Unknown
RMBS,RMBS,,99051073.86039734,information technology,Semiconductors
BSY,BSY,,98781781.38748169,information technology,Unknown
ABVX,ABVX,,97868715.4927826,health care,Biotechnology
BMRN,BMRN,,97650179.77050781,health care,Unknown
JAZZ,JAZZ,,97349610.15014648,health care,Pharmaceuticals
TPG,TPG,,97330004.5759201,financials,Unknown
CW,CW,,97178964.22668457,industrials,Aerospace & Defense
ONTO,ONTO,,97023177.15927124,information technology,Semiconductor Materials & Equipment
J,J,,96664300.37109375,industrials,Construction & Engineering
APG,APG,,96267497.3267746,industrials,Construction & Engineering
HOLX,HOLX,,96112603.31466675,health care,Health Care Equipment
RBA,RBA,,95197347.1672821,industrials,Unknown
TREX,TREX,,95144245.31375885,industrials,Building Products
AUR,AUR,,94600166.58427715,information technology,Unknown
THAR,THAR,,94103583.54945421,health care,Biotechnology
SNV,SNV,,94067722.10876465,financials,Regional Banks
JBLU,JBLU,,94067098.39362621,industrials,Airlines
AIZ,AIZ,,93830509.5513916,financials,Multi-line Insurance
TXT,TXT,,92990701.89659119,industrials,Aerospace & Defense
SSNC,SSNC,,92972856.3456726,information technology,Unknown
EXEL,EXEL,,92846558.46485138,health care,Biotechnology
VLTO,VLTO,,92135464.26994324,industrials,Unknown
COMM,COMM,,92001726.40227318,information technology,Communication Equipment
VRNT,VRNT,,91980470.41610718,information technology,Software - Infrastructure
CRSP,CRSP,,90701246.95770264,health care,Biotechnology
BEN,BEN,,90578621.05709076,financials,Asset Management & Custody Banks
GLOB,GLOB,,90508179.82032776,information technology,Unknown
WAL,WAL,,90435110.78102112,financials,Unknown
KEX,KEX,,90393698.0909729,industrials,Marine Transportation
MORN,MORN,,89589077.63748169,financials,Unknown
NCNO,NCNO,,89576185.27608871,information technology,Unknown
IDCC,IDCC,,88704739.9874878,information technology,Software - Application
MKSI,MKSI,,88695837.30201721,information technology,Semiconductor Materials & Equipment
RGEN,RGEN,,88477388.99925232,health care,Biotechnology
PFG,PFG,,88318143.77662659,financials,Life & Health Insurance
TTC,TTC,,88263041.95007324,industrials,Agricultural & Farm Machinery
RNR,RNR,,87836909.740448,financials,Reinsurance
SITM,SITM,,87825014.43908691,information technology,Semiconductors
VMI,VMI,,87817713.15856934,industrials,Industrial Machinery & Supplies & Components
EOSE,EOSE,,87500405.93616009,industrials,Electrical Equipment & Parts
JEF,JEF,,87412591.2450409,financials,Multi-Sector Holdings
EHC,EHC,,87208637.18856812,health care,Health Care Facilities
TTMI,TTMI,,86921974.92977142,information technology,Electronic Components
FBIN,FBIN,,86416599.5664978,industrials,Building Products
CHE,CHE,,85813108.3670044,health care,Health Care Services
MASI,MASI,,85443169.04022217,health care,Health Care Equipment
CWD,CWD,,85178967.61734724,financials,Asset Management
CGNX,CGNX,,83967491.8276596,information technology,Electronic Equipment & Instruments
AGCO,AGCO,,83787211.71737671,industrials,Agricultural & Farm Machinery
