candidate_type,ticker_tv,ticker_yf,price,market_cap,sector,industry,technical_local,tech_score,local_label,finnhub_label,tv_reco,tv_symbol_used,tv_exchange_used,final_signal,analyst_bucket,analyst_mean,analyst_votes,avg_vol,rank_score
anticipative,FHN,FHN,22.790000915527344,11571577384.857178,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.9375,16.0,11527544.0,5.039999999999999
anticipative,TOL,TOL,145.41000366210938,14015052382.965088,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.82353,16.0,1686857.0,5.039999999999999
anticipative,CIEN,CIEN,116.91999816894531,16528630316.509277,Information Technology,Communications Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.11765,16.0,3233041.5,5.039999999999999
anticipative,RL,RL,320.75,19429206725.0,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.66667,16.0,576666.2,5.039999999999999
anticipative,WBS,WBS,62.91999816894531,10456611072.338867,Financials,Regional Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.625,15.0,1044118.1,4.999999999999999
anticipative,SYY,SYY,82.51000213623047,39457273141.571045,Consumer Staples,Food Distributors,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.94118,15.0,2658987.4,4.999999999999999
anticipative,ARWR,ARWR,28.0,3871224000.0,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.86667,14.0,3109503.6,4.959999999999999
anticipative,OMF,OMF,62.61000061035156,7442450772.55249,Financials,Credit Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.8125,14.0,855386.7,4.959999999999999
anticipative,PHM,PHM,137.61000061035156,27150177900.421143,Consumer Discretionary,Homebuilding,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,13.0,1953955.1,4.92
anticipative,COGT,COGT,12.9399995803833,1807730777.8591309,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.76923,12.0,1282098.1,4.879999999999999
anticipative,AGNC,AGNC,10.199999809265137,10625645638.105774,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.06667,12.0,20079736.6,4.879999999999999
anticipative,VOYA,VOYA,77.62000274658203,7483949900.819397,Financials,Multi-Sector Holdings,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.41667,11.0,797044.0,4.84
anticipative,NLY,NLY,21.799999237060547,13997257007.734863,Financials,REIT - Mortgage,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,11.0,6373878.2,4.84
anticipative,VLY,VLY,10.649999618530273,5961028692.083374,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.18182,10.0,7481497.1,4.8
anticipative,BPOP,BPOP,127.05999755859375,8587070403.00293,Financials,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.875,8.0,606380.0,4.72
anticipative,AYI,AYI,339.3999938964844,10400844932.958984,Industrials,Electrical Components & Equipment,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,8.0,215005.9,4.72
anticipative,THG,THG,181.33999633789062,6486604205.004883,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,7.0,182681.7,4.68
anticipative,SATS,SATS,67.22000122070312,19340269871.21582,Communication Services,Telecom Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.42857,7.0,10947046.4,4.68
anticipative,FLEX,FLEX,55.16999816894531,21069808932.067383,Information Technology,Electronic Manufacturing Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.66667,7.0,3488577.4,4.68
anticipative,CINF,CINF,155.58999633789062,24330541267.333984,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.125,6.0,399491.4,4.64
anticipative,TLS,TLS,6.570000171661377,482826684.6153259,Technology,Software - Infrastructure,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.8,5.0,1291847.7,4.6
anticipative,FCFS,FCFS,150.8300018310547,6691512699.234009,Financial Services,Credit Services,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.66667,5.0,312006.9,4.6
anticipative,HSY,HSY,185.3000030517578,37564757818.66455,Consumer Staples,Packaged Foods & Meats,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,3.08333,22.0,1099433.4,4.6
anticipative,FBNC,FBNC,55.54999923706055,2303236288.366699,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.4,4.0,220326.2,4.56
anticipative,ADEA,ADEA,15.40999984741211,1685376273.311615,Technology,Software - Application,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.66667,3.0,522522.2,4.52
anticipative,AEHR,AEHR,26.290000915527344,786468006.388092,Technology,Semiconductor Equipment & Materials,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.33333,2.0,2842038.8,4.4799999999999995
anticipative,SCSC,SCSC,44.70000076293945,978237166.6965485,Technology,Electronics & Computer Distribution,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,1.66667,2.0,362920.7,4.4799999999999995
anticipative,ORI,ORI,41.09000015258789,10209632337.913513,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.33333,2.0,1086795.1,4.4799999999999995
anticipative,NBBK,NBBK,19.1299991607666,761878998.576355,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Buy,2.0,1.0,175855.8,4.4399999999999995
anticipative,WRB,WRB,72.91999816894531,27658044282.13379,Financials,Property & Casualty Insurance,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.5,15.0,1409713.1,4.3999999999999995
anticipative,NTAP,NTAP,118.83000183105469,23720607305.511475,Information Technology,"Technology Hardware, Storage & Peripherals",Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.5,14.0,2558909.0,4.359999999999999
anticipative,DRVN,DRVN,19.209999084472656,3155818649.597168,Consumer Cyclical,Auto & Truck Dealerships,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,13.0,1150456.3,4.32
anticipative,RGNX,RGNX,9.420000076293945,475843767.8539276,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,12.0,619680.9,4.279999999999999
anticipative,TSHA,TSHA,3.259999990463257,889311723.4784241,Healthcare,Biotechnology,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,12.0,3784626.9,4.279999999999999
anticipative,EHC,EHC,124.4800033569336,12538123858.12378,Health Care,Health Care Facilities,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,12.0,714824.2,4.279999999999999
anticipative,AN,AN,225.66000366210938,8508736098.083496,Consumer Discretionary,Automotive Retail,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,11.0,372232.5,4.24
anticipative,UMBF,UMBF,123.62999725341797,9387016014.976685,Financial Services,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,11.0,489782.3,4.24
anticipative,BOKF,BOKF,113.0,7188054300.0,Financials,Banks - Regional,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,Hold,2.5,10.0,185716.0,4.2
anticipative,BEN,BEN,25.739999771118164,13364079387.085693,Financials,Asset Management & Custody Banks,Strong Buy,6,STRONG_BUY,,,,,STRONG_BUY,,,10.0,3339271.2,4.2
