ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
CRL,CRL,NYQ,7894941873.886108,160.4199981689453,Health Care,Life Sciences Tools & Services,Neutral,1,,Buy,2.38889,15.0,1.75
BWA,BWA,NYQ,9294079171.494751,42.95000076293945,Consumer Discretionary,Automotive Parts & Equipment,Buy,2,,,,15.0,1.75
SWK,SWK,NYQ,11308329607.23877,73.05500030517578,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,Buy,2.47368,15.0,1.75
OC,OC,NYQ,12571684585.57129,148.1199951171875,Industrials,Building Products,Sell,-3,,Buy,1.82353,15.0,1.75
COO,COO,NMS,13171095720.0,66.25,Health Care,Health Care Supplies,Strong Sell,-6,,Buy,1.94118,15.0,1.75
HOLX,HOLX,NMS,14666864824.14795,65.94249725341797,Health Care,Health Care Equipment,Sell,-2,,Buy,2.3,15.0,1.75
ZBRA,ZBRA,NMS,15472702687.86621,304.30999755859375,Information Technology,Electronic Equipment & Instruments,Strong Sell,-6,,Buy,1.94118,15.0,1.75
EXPD,EXPD,NYQ,16367033935.432617,120.59500122070312,Industrials,Air Freight & Logistics,Buy,2,,Sell,3.64706,15.0,1.75
WAT,WAT,NYQ,17244726502.371216,289.7099914550781,Health Care,Health Care Distributors,Strong Sell,-4,,Buy,2.41176,15.0,1.75
CG,CG,NMS,22742201372.0,62.875,Financials,Asset Management,Neutral,-1,,Buy,2.1875,15.0,1.75
FWONK,FWONK,NMS,24657958867.004395,99.66999816894531,Communication Services,Entertainment,Neutral,-1,,Buy,1.8,15.0,1.75
TW,TW,NMS,27389134016.971924,125.37999725341797,Financials,Capital Markets,Strong Sell,-4,,Buy,2.0,15.0,1.75
ROP,ROP,NMS,55921079131.83594,519.64501953125,Industrials,Industrial Conglomerates,Strong Sell,-6,,Buy,1.83333,15.0,1.75
VST,VST,NYQ,63064568254.39453,186.1300048828125,Utilities,Utilities - Independent Power Producers,Sell,-2,,Buy,1.6875,15.0,1.75
ZTS,ZTS,NYQ,67253021464.0,151.75,Health Care,Pharmaceuticals,Strong Sell,-5,,Buy,1.83333,15.0,1.75
NCNO,NCNO,NMS,3540464514.656067,30.56999969482422,Information Technology,Software - Application,Neutral,0,,Buy,2.4375,14.0,1.7000000000000002
SEE,SEE,NYQ,4759994548.659668,32.36000061035156,Materials,Paper & Plastic Packaging Products & Materials,Buy,2,,,,14.0,1.7000000000000002
SNV,SNV,NYQ,7070675569.381714,50.939998626708984,Financials,Regional Banks,Neutral,1,,Buy,2.13333,14.0,1.7000000000000002
CAVA,CAVA,NYQ,7690648696.136475,66.32499694824219,Consumer Discretionary,Restaurants,Strong Sell,-4,,Buy,1.82353,14.0,1.7000000000000002
LAD,LAD,NYQ,8571563931.472778,334.3500061035156,Consumer Discretionary,Automotive Retail,Neutral,0,,Buy,1.64286,14.0,1.7000000000000002
OSK,OSK,NYQ,8751401373.564148,136.74000549316406,Industrials,Construction Machinery & Heavy Transportation Equipment,Neutral,-1,,Buy,1.93333,14.0,1.7000000000000002
ALGN,ALGN,NMS,9614596051.757812,132.63999938964844,Health Care,Health Care Supplies,Strong Sell,-4,STRONG_SELL,Buy,2.0,14.0,1.7000000000000002
MTSI,MTSI,NMS,9997408494.446045,128.49000549316406,Information Technology,Semiconductors,Neutral,1,,Buy,1.73333,14.0,1.7000000000000002
WLK,WLK,NYQ,10837427877.76184,84.50499725341797,Materials,Specialty Chemicals,Neutral,1,,Buy,2.0,14.0,1.7000000000000002
CNM,CNM,NYQ,12688079448.81128,64.36499786376953,Industrials,Trading Companies & Distributors,Neutral,-1,,Buy,2.07692,14.0,1.7000000000000002
RPM,RPM,NYQ,15684980194.06128,122.26000213623047,Materials,Specialty Chemicals,Sell,-3,,Buy,1.93333,14.0,1.7000000000000002
GWRE,GWRE,NYQ,18382338170.166016,218.3300018310547,Information Technology,Software - Application,Neutral,1,,Buy,2.2,14.0,1.7000000000000002
MKC,MKC,NYQ,18499767382.791992,68.94999694824219,Consumer Staples,Packaged Foods & Meats,Strong Sell,-6,,Buy,2.33333,14.0,1.7000000000000002
EIX,EIX,NYQ,21231290192.62793,55.16999816894531,Utilities,Electric Utilities,Neutral,-1,,Buy,1.8125,14.0,1.7000000000000002
ES,ES,NYQ,23475334459.592773,63.029998779296875,Utilities,Multi-Utilities,Strong Sell,-4,,Buy,2.35294,14.0,1.7000000000000002
CNP,CNP,NYQ,24456323201.32422,37.459999084472656,Utilities,Multi-Utilities,Neutral,1,,Buy,2.375,14.0,1.7000000000000002
RMD,RMD,NYQ,39129410888.0,267.25,Health Care,Health Care Equipment,Sell,-2,,Buy,2.05556,14.0,1.7000000000000002
PEG,PEG,NYQ,40490359029.23584,81.12999725341797,Utilities,Electric Utilities,Sell,-2,,Buy,2.38889,14.0,1.7000000000000002
