ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
EMR,equipement_electrique,53.4,Setup en formation,139.63,49.9,0.035,0.27,2.48,-7.04,353993525.0,8.7,16.2,2.0,0.54,0.0,0.3,1.0,0.799,0.434,0.667,0.835,0.175,0.507,80153108106.99463,,,0,,2026-01-05,141.73,-1.48,199
TSEM,semiconducteurs,53.4,En base (loin du pivot),249.53,51.9,1.612,-0.55,-0.59,-21.25,431934992.0,22.0,37.6,49.0,0.69,0.0,0.7,0.689,0.495,0.345,0.0,0.837,0.762,0.266,28789056483.05603,,,0,,2026-01-05,119.29,109.18,199
AVGO,ia|semiconducteurs,53.3,Setup en formation,396.81,53.6,1.967,2.67,0.64,1.19,8870790078.0,19.7,27.9,39.0,0.6,0.0,0.3,1.0,0.669,0.435,0.0,0.834,0.659,0.343,1848082085989.0305,Événement,17.0,1,,2026-01-12,350.92,13.08,192
AMPG,quantique,53.3,En base (loin du pivot),6.47,49.9,-0.118,6.24,-2.12,-23.43,19198612.0,36.0,78.2,21.0,1.0,0.0,0.966,0.0,0.744,0.63,0.0,0.796,0.817,0.0,160901371.23350382,Événement,1.0,2,,2026-01-05,3.65,77.26,199
MXL,semiconducteurs,53.1,En base (loin du pivot),86.8,49.5,-1.668,0.86,-2.3,-10.0,366615035.0,32.3,47.3,75.0,0.84,0.0,0.726,0.149,0.324,0.921,0.0,0.836,0.73,0.0,8205991628.105484,,,0,,2026-01-05,18.13,378.76,199
ICHR,semiconducteurs,53.0,En base (loin du pivot),95.33,54.2,-1.203,-0.54,2.32,-4.3,120060945.0,16.1,45.3,47.0,0.14,0.0,0.924,0.263,0.319,0.071,0.0,0.864,0.913,0.464,3240543990.944641,,,0,,2026-01-05,20.94,355.25,199
CTS,gestion_thermique,52.4,En base (loin du pivot),60.13,45.1,-0.085,-1.92,1.25,-11.92,19538241.0,13.5,20.1,40.0,0.35,0.0,0.7,1.0,0.679,0.176,0.063,0.575,0.651,0.55,1717290213.8663864,Direction,28.0,1,,2026-01-05,44.44,35.31,199
ATRO,defense,52.2,En base (loin du pivot),70.89,47.7,-0.833,2.74,-0.8,-13.39,55098375.0,20.1,36.4,87.0,0.39,0.0,0.7,0.754,0.47,0.193,0.0,0.758,0.825,0.33,3527424369.4993286,,,0,,2026-01-05,46.39,52.81,199
QTUM,quantique,52.2,En base (loin du pivot),144.83,41.4,-1.427,-0.25,-2.09,-13.96,78696634.0,14.7,19.0,64.0,1.0,0.0,0.7,1.0,0.535,0.5,0.0,0.374,0.643,0.511,,,,0,,2026-01-05,114.24,26.78,199
STM,semiconducteurs,52.2,En base (loin du pivot),65.77,45.7,-0.854,0.52,-2.92,-17.6,742800178.0,19.1,31.7,47.0,0.62,0.0,0.7,1.0,0.584,0.311,0.0,0.593,0.706,0.362,48521547383.0128,,,0,,2026-01-05,27.3,140.92,199
ALNT,gestion_thermique,52.1,En base (loin du pivot),88.36,49.4,-0.793,-1.79,-0.48,-10.55,28397693.0,15.6,44.0,62.0,0.0,0.0,0.793,0.334,0.331,0.203,0.0,0.804,0.833,0.481,1480226167.836914,,,0,,2026-01-05,58.26,51.66,199
IMOS,semiconducteurs,52.0,En base (loin du pivot),63.06,48.1,-0.941,-4.45,-8.13,-9.11,8994332.0,19.5,40.6,26.0,0.0,0.0,0.991,0.522,0.443,0.496,0.0,0.38,0.817,0.35,2076518548.7649536,,,0,,2026-01-27,42.36,48.87,177
CGNX,robotique,52.0,En base (loin du pivot),62.54,44.2,-0.566,-0.64,-1.11,-7.49,157272147.0,14.2,20.3,48.0,0.38,0.0,0.716,1.0,0.413,0.512,0.0,0.441,0.587,0.527,10281393479.631256,,,0,,2026-01-12,39.32,59.05,192
CEVA,semiconducteurs,51.2,En base (loin du pivot),40.06,45.9,-0.71,-1.62,-4.53,-17.25,29313004.0,22.4,36.0,58.0,0.99,0.0,0.719,0.775,0.431,0.496,0.0,0.581,0.722,0.255,1077878948.3509789,Direction,10.0,1,,2026-04-16,22.35,79.24,98
QMCO,quantique,50.8,En base (loin du pivot),11.66,54.2,0.086,1.75,13.2,-16.95,10187390.0,36.9,59.6,42.0,0.71,0.0,0.7,0.0,0.748,0.453,0.0,0.94,0.849,0.0,463044129.0121079,Résultats,28.0,1,,2026-07-03,10.16,14.76,20
