ticker,sector
FRME,Financials
FRPH,Real Estate
FRSH,Information Technology
FRST,Financials
FSBC,Financials
FSUN,Financials
FTF,Financials
FTHY,Financials
FTK,Energy
FTRE,Health Care
FULT,Financials
FUNC,Financials
FVCB,Financials
FVR,Real Estate
FXNC,Financials
GABC,Financials
GAIN,Financials
GBAB,Financials
GBDC,Financials
GBFH,Financials
GBTG,Consumer Discretionary
GCMG,Financials
GDOT,Financials
GDRX,Health Care
GEF,Consumer Discretionary
GEO,Industrials
GFF,Industrials
GGT,Financials
GHM,Industrials
GHRS,Health Care
GIC,Industrials
GIII,Consumer Discretionary
GLAS,Health Care
GNK,Industrials
GNW,Financials
GOLD,Financials
GOOD,Real Estate
GRBK,Consumer Discretionary
GRC,Industrials
GRDN,Health Care
GSBC,Financials
GSBD,Financials
GTY,Real Estate
GUT,Financials
HAE,Health Care
HAFC,Financials
HAPN,Financials
HAYW,Industrials
HBNC,Financials
HCI,Financials
HCSG,Health Care
HELE,Consumer Staples
HESM,Energy
HFWA,Financials
HG,Financials
HGV,Consumer Discretionary
HIFS,Financials
HIW,Real Estate
HLIT,Information Technology
HMN,Financials
HNST,Consumer Staples
HNVR,Financials
HOFT,Consumer Discretionary
HOG,Consumer Discretionary
HOPE,Financials
HPP,Real Estate
HQH,Financials
HRMY,Health Care
HSHP,Industrials
HSTM,Health Care
HTGC,Financials
HTH,Financials
HTLD,Industrials
HTO,Utilities
HUBG,Industrials
HURC,Industrials
HVT,Consumer Discretionary
HZO,Consumer Discretionary
IART,Health Care
IBCP,Financials
IBEX,Information Technology
IBOC,Financials
IBTA,Information Technology
ICFI,Industrials
ICUI,Health Care
IDT,Communication Services
IDYA,Health Care
IGIC,Financials
IIM,Financials
IIPR,Real Estate
IKT,Health Care
IMCR,Health Care
IMKTA,Consumer Staples
IMMR,Information Technology
IMMX,Health Care
IMOS,Information Technology
IMUX,Health Care
INBK,Financials
INDB,Financials
INDV,Health Care
INFU,Health Care
INGN,Health Care
INN,Real Estate
INSW,Energy
INTG,Consumer Discretionary
INTT,Information Technology
IOSP,Materials
IOVA,Health Care
IPSC,Health Care
IQI,Financials
IRMD,Health Care
IRON,Health Care
IRS,Real Estate
IRT,Real Estate
ISTR,Financials
ITGR,Health Care
ITIC,Financials
IVT,Real Estate
JAKK,Consumer Discretionary
JBLU,Industrials
JBSS,Consumer Staples
JILL,Consumer Discretionary
JMSB,Financials
JOYY,Communication Services
KALU,Materials
KARO,Information Technology
KBH,Consumer Discretionary
KFRC,Industrials
KIDS,Health Care
KINS,Financials
KN,Information Technology
KNSA,Health Care
KOP,Materials
KPTI,Health Care
KRC,Real Estate
KREF,Real Estate
KRNY,Financials
KRT,Consumer Discretionary
KTB,Consumer Discretionary
KURA,Health Care
KWR,Materials
KYIV,Communication Services
KYN,Financials
KZIA,Health Care
LBRX,Health Care
LEG,Consumer Discretionary
LEGH,Consumer Discretionary
LGIH,Consumer Discretionary
LINC,Consumer Staples
LIND,Consumer Discretionary
LION,
LIVN,Health Care
LIXT,Health Care
LKFN,Financials
LMAT,Health Care
LMNR,Consumer Staples
LOB,Financials
LOMA,Materials
LOVE,Consumer Discretionary
LPRO,Financials
LQDT,Consumer Discretionary
LSPD,Information Technology
LTC,Real Estate
LWAY,Consumer Staples
LXP,Real Estate
LYTS,Information Technology
LZB,Consumer Discretionary
MAGN,Consumer Staples
MAMA,Consumer Staples
MAN,Industrials
MANU,Communication Services
MASS,Health Care
MBI,Financials
MBIN,Financials
MCB,Financials
MCBS,Financials
MCHB,Financials
MCRI,Consumer Discretionary
MCS,Communication Services
MD,Health Care
MDV,Real Estate
MFA,Real Estate
MFIN,Financials
MGNX,Health Care
MGRC,Industrials
MHD,Financials
MHO,Consumer Discretionary
MKTW,Financials
MLAB,Information Technology
MLR,Consumer Discretionary
MMI,Real Estate
MNSB,Financials
MOV,Consumer Discretionary
MPAA,Consumer Discretionary
MPB,Financials
MPLT,Health Care
MPTI,Information Technology
MRBK,Financials
MRP,Real Estate
MRTN,Industrials
MRVI,Health Care
MRX,Financials
MSBI,Financials
MSEX,Utilities
MSGE,Communication Services
MTLS,Information Technology
MUJ,Financials
MYE,Consumer Discretionary
MYI,Financials
NAT,Energy
NBBK,Financials
NBHC,Financials
NBN,Financials
NBTB,Financials
NCV,Financials
NDMO,Financials
NECB,Financials
NEOG,Health Care
NESR,Energy
NEWT,Financials
NEXN,Communication Services
NFBK,Financials
NGNE,Health Care
NGVC,Consumer Staples
NHC,Health Care
NIC,Financials
NIE,Financials
NKSH,Financials
NKTX,Health Care
NMCO,Financials
NMIH,Financials
NMM,Industrials
NNI,Financials
NOMD,Consumer Staples
NOVTU,Information Technology
NPB,Financials
NREF,Real Estate
NRIM,Financials
NSA,Real Estate
NSIT,Information Technology
NTB,Financials
NTCT,Information Technology
NTLA,Health Care
NTST,Real Estate
NVCR,Health Care
NVRI,Industrials
NVST,Health Care
NWBI,Financials
NWE,Utilities
NWFL,Financials
NWPX,Materials
NXDR,Communication Services
NXG,Financials
NXRT,Real Estate
OABI,Health Care
OBK,Financials
OBT,Financials
OCFC,Financials
OCSL,Financials
ODC,Materials
OFG,Financials
OGN,Health Care
OII,Energy
OKUR,Health Care
OLP,Real Estate
OLPX,Consumer Discretionary
OMCL,Health Care
ONL,Real Estate
OOMA,Information Technology
OPK,Health Care
OPLN,Consumer Discretionary
OPRA,Communication Services
OPRT,Financials
OPY,Financials
ORC,Real Estate
ORRF,Financials
OSBC,Financials
OSPN,Information Technology
OSUR,Health Care
OSW,Consumer Discretionary
OTTR,Industrials
OVID,Health Care
OVLY,Financials
PAGP,Energy
PARR,Energy
PAYO,Information Technology
PBI,Industrials
PBYI,Health Care
PCB,Financials
PCRX,Health Care
PDFS,Information Technology
PDM,Real Estate
PDO,Financials
PDX,Financials
PEB,Real Estate
PEBK,Financials
PEBO,Financials
PENN,Consumer Discretionary
PFIS,Financials
PFS,Financials
PGC,Financials
PGEN,Health Care
PGNY,Health Care
PHVS,Health Care
PINE,Real Estate
PK,Real Estate
PKBK,Financials
PKE,Industrials
PKOH,Industrials
PLBC,Financials
PLGO,Financials
PLOW,Consumer Discretionary
PLPC,Industrials
PLSE,Health Care
PLTK,Communication Services
PLX,Health Care
PMTS,Financials
PNTG,Health Care
POWW,Industrials
PPLI,Communication Services
PRDO,Consumer Staples
PRG,Industrials
PRK,Financials
PRKS,Consumer Discretionary
PRLB,Industrials
PRLD,Health Care
PRTH,Information Technology
PSTL,Real Estate
PXED,Consumer Staples
QCRH,Financials
QTTB,Health Care
QUAD,Industrials
RAMP,Information Technology
RAPP,Health Care
RBB,Financials
RCKY,Consumer Discretionary
RCMT,Industrials
RCUS,Health Care
RDVT,Information Technology
RDWR,Information Technology
RELL,Information Technology
RFI,Financials
RGP,Industrials
RHI,Industrials
RIGL,Health Care
RLAY,Health Care
RLJ,Real Estate
RM,Financials
RMAX,Real Estate
RMNI,Information Technology
RMR,Real Estate
RMT,Financials
RNAC,Health Care
RNST,Financials
ROG,Information Technology
RPAY,Information Technology
RPT,Real Estate
RRBI,Financials
RSKD,Information Technology
RVT,Financials
RXO,Industrials
SABR,Information Technology
SAFE,Real Estate
SAH,Consumer Discretionary
SAIC,Information Technology
SAR,Financials
SBCF,Financials
SBFG,Financials
SBGI,Communication Services
SBSI,Financials
SCHL,Communication Services
SCL,Materials
SCSC,Information Technology
SDGR,Health Care
SEG,Real Estate
SENEA,Consumer Staples
SFBS,Financials
SFNC,Financials
SGHT,Health Care
SGMT,Health Care
SHBI,Financials
SHO,Real Estate
SI,
SIBN,Health Care
SIF,Industrials
SIFY,Communication Services
SION,Health Care
SKT,Real Estate
SKWD,Financials
SKY,Consumer Discretionary
SKYH,Real Estate
SLDE,Financials
SLG,Real Estate
SLN,Health Care
SLP,Health Care
SMA,Real Estate
SMBC,Financials
SMBK,Financials
SMG,Materials
SMPL,Consumer Staples
SMTI,Health Care
SNDA,Health Care
SPB,Consumer Staples
SPFI,Financials
SPIR,Industrials
SPNT,Financials
SRCE,Financials
STBA,Financials
STGW,Communication Services
STRA,Consumer Staples
STRT,Consumer Discretionary
STRZ,Communication Services
SUNC,Energy
SVCO,Information Technology
SVRA,Health Care
SVV,Consumer Discretionary
SXI,Industrials
SYBT,Financials
TAK,Health Care
TATT,Industrials
TBBB,Consumer Staples
TBI,Industrials
TBLA,Communication Services
TBLD,Financials
TBRG,Health Care
TCBI,Financials
TCBK,Financials
TCBX,Financials
TDAY,Communication Services
TDC,Information Technology
TDOC,Health Care
TECX,Health Care
TFIN,Financials
TH,Industrials
THFF,Financials
THRY,Information Technology
TILE,Consumer Discretionary
TIPT,Financials
TMP,Financials
TNC,Industrials
TNL,Consumer Discretionary
TOI,Health Care
TOWN,Financials
TR,Consumer Staples
TRIN,Financials
TRIP,Consumer Discretionary
TRMK,Financials
TRN,Industrials
TRNS,Industrials
TRS,Consumer Discretionary
TRST,Financials
TRTX,Real Estate
TRVI,Health Care
TSBK,Financials
TSHA,Health Care
TTAM,Materials
TWIN,Industrials
TWO,Real Estate
TXG,Health Care
TZOO,Communication Services
UA,Consumer Discretionary
UAA,Consumer Discretionary
UCB,Financials
UE,Real Estate
UFCS,Financials
UFPT,Health Care
UHAL,Industrials
ULCC,Industrials
UMH,Real Estate
UNF,Industrials
UNTY,Financials
UPST,Financials
URGN,Health Care
USCB,Financials
USNA,Consumer Staples
UTI,Consumer Staples
UTL,Utilities
UTMD,Health Care
UVE,Financials
UVSP,Financials
VAC,Consumer Discretionary
VBNK,Financials
VCEL,Health Care
VCYT,Health Care
VEL,Financials
VGM,Financials
VIR,Health Care
VISN,Information Technology
VKQ,Financials
VKTX,Health Care
VLRS,Industrials
VMD,Health Care
VMO,Financials
VOR,Health Care
VPG,Information Technology
VRA,Consumer Discretionary
VSTS,Industrials
VTEX,Information Technology
VTMX,Real Estate
VVV,Consumer Discretionary
WABC,Financials
WAFD,Financials
WASH,Financials
WBI,Energy
WDFC,Materials
WEN,Consumer Discretionary
WERN,Industrials
WKC,Energy
WLFC,Industrials
WLY,Communication Services
WMK,Consumer Staples
WNC,Industrials
WRBY,Health Care
WRLD,Financials
WSBC,Financials
WSBF,Financials
WSC,Industrials
WSFS,Financials
WSR,Real Estate
WT,Financials
WTBA,Financials
WTFCN,Financials
WTTR,Energy
XHR,Real Estate
XIFR,Utilities
XMTR,Industrials
XNCR,Health Care
XPEL,Consumer Discretionary
XPER,Information Technology
YETI,Consumer Discretionary
ZD,Communication Services
ZIP,Communication Services
ZNTL,Health Care
ZVRA,Health Care
