ticker,sector,industry
DD,Materials,Unknown
DDOG,Information Technology,Unknown
DE,Industrials,Unknown
DECK,Consumer Discretionary,Unknown
DELL,Information Technology,Unknown
DG,Consumer Staples,Unknown
DGX,Health Care,Unknown
DHI,Consumer Discretionary,Unknown
DHR,Health Care,Unknown
DIS,Communication Services,Unknown
DLR,Real Estate,Unknown
DLTR,Consumer Staples,Unknown
DOC,Real Estate,Unknown
DOV,Industrials,Unknown
DOW,Materials,Unknown
DPZ,Consumer Discretionary,Unknown
DRI,Consumer Discretionary,Unknown
DTE,Utilities,Unknown
DUK,Utilities,Unknown
DVA,Health Care,Unknown
DVN,Energy,Unknown
DXCM,Health Care,Unknown
EA,Communication Services,Unknown
EBAY,Consumer Discretionary,Unknown
ECL,Materials,Unknown
ED,Utilities,Unknown
EFX,Industrials,Unknown
EG,Financials,Unknown
EIX,Utilities,Unknown
EL,Consumer Staples,Unknown
ELV,Health Care,Unknown
EMN,Materials,Unknown
EMR,Industrials,Unknown
ENPH,Information Technology,Unknown
EOG,Energy,Unknown
EPAM,Information Technology,Unknown
EQIX,Real Estate,Unknown
EQR,Real Estate,Unknown
EQT,Energy,Unknown
ERIE,nan,Unknown
ES,Utilities,Unknown
ESS,Real Estate,Unknown
ETN,Industrials,Unknown
ETR,Utilities,Unknown
EVRG,Utilities,Unknown
EW,Health Care,Unknown
EXC,Utilities,Unknown
EXE,Energy,Unknown
EXPD,Industrials,Unknown
EXPE,Consumer Discretionary,Unknown
EXR,Real Estate,Unknown
F,Consumer Discretionary,Unknown
FANG,Energy,Unknown
FAST,Industrials,Unknown
FCX,Materials,Unknown
FDS,Financials,Unknown
FDX,Industrials,Unknown
FE,Utilities,Unknown
FFIV,Information Technology,Unknown
FI,Financials,Unknown
FICO,Information Technology,Unknown
FIS,Financials,Unknown
FITB,Financials,Unknown
FOX,Communication Services,Unknown
FOXA,Communication Services,Unknown
FRT,Real Estate,Unknown
FSLR,Information Technology,Unknown
FTNT,Information Technology,Unknown
FTV,Industrials,Unknown
GD,Industrials,Unknown
GDDY,Information Technology,Unknown
GE,Industrials,Unknown
GEHC,Health Care,Unknown
GEN,Information Technology,Unknown
GEV,Industrials,Unknown
GILD,Health Care,Unknown
GIS,Consumer Staples,Unknown
GL,Financials,Unknown
GLW,Information Technology,Unknown
GM,Consumer Discretionary,Unknown
GNRC,Industrials,Unknown
GOOG,Communication Services,Unknown
GOOGL,Communication Services,Unknown
GPC,Consumer Discretionary,Unknown
GPN,Financials,Unknown
GRMN,Consumer Discretionary,Unknown
GS,Financials,Unknown
GWW,Industrials,Unknown
HAL,Energy,Unknown
HAS,Consumer Discretionary,Unknown
HBAN,Financials,Unknown
HCA,Health Care,Unknown
HD,Consumer Discretionary,Unknown
HIG,Financials,Unknown
HII,Industrials,Unknown
HLT,Consumer Discretionary,Unknown
HOLX,Health Care,Unknown
HON,Industrials,Unknown
HPE,Information Technology,Unknown
HPQ,Information Technology,Unknown
HRL,Consumer Staples,Unknown
HSIC,Health Care,Unknown
HST,Real Estate,Unknown
HSY,Consumer Staples,Unknown
HUBB,Industrials,Unknown
